game_pk,play_id,is_naylor,clip_prefix,date,pitcher_name,result
778525,6a4935ba-0708-3129-881c-d50b582acbce,0,holliday,2025-03-30,"Bassitt, Chris",SB
778512,6ce80996-6c06-3cb0-a296-10963d297879,0,holliday,2025-03-31,"Newcomb, Sean",CS
778292,4f418372-7d3b-3a78-9c69-df1b0e0ec681,0,holliday,2025-04-17,"Junis, Jakob",CS
778193,854e25e9-6e4e-3f5e-b1a7-db4365288321,0,holliday,2025-04-24,"Henry, Cole",SB
778011,a427582d-735a-38d0-8acd-93cc490ddc97,0,holliday,2025-05-07,"Woods Richardson, Simeon",CS
777907,bd68803b-a4d0-3991-8e49-9b9969ff67e4,0,holliday,2025-05-16,"Finnegan, Kyle",CS
777809,989d4b7a-c05c-3276-b2d6-26adb0bba3d1,0,holliday,2025-05-24,"Dobbins, Hunter",SB
777754,386a0d1f-36ba-37d1-bd44-e858dbc9a29e,0,holliday,2025-05-27,"Pallante, Andre",SB
777720,13a471d0-5650-3fe0-98ea-5c05e575ea2f,0,holliday,2025-05-30,"Shuster, Jared",SB
777573,ecd52c4f-6a1a-34b3-95fa-04e3ef72098a,0,holliday,2025-06-10,"Hurter, Brant",SB
777562,26647807-7731-3b05-ad05-25dc3d0efe39,0,holliday,2025-06-11,"Brieske, Beau",SB
777477,575182e6-5680-3249-95ca-6d89d6797c7e,0,holliday,2025-06-17,"Kelly, Kevin",CS
777438,309307de-6ead-3a8a-9d65-2b2bbba78189,0,holliday,2025-06-20,"Fried, Max",SB
777406,19c11703-b2d6-3d17-b38a-02bd6dbc6cbc,0,holliday,2025-06-22,"Warren, Will",PK
777330,e7d5a7b5-002f-3b85-b534-2c42fdd5b304,0,holliday,2025-06-28,"Littell, Zack",SB
777317,07773176-0086-0013-000c-f08cd117d70a,0,holliday,2025-06-29,"Bradley, Taj",CS
777165,67270ad0-c43c-34f2-8a91-a2ba980bf121,0,holliday,2025-07-10,"Peterson, David",PK
777181,67270ad0-c43c-34f2-8a91-a2ba980bf121,0,holliday,2025-07-10,"Peterson, David",PK
777020,4985d40a-40a7-327d-9701-5abecf8d77ff,0,holliday,2025-07-25,"Freeland, Kyle",PK
778372,a65eb744-1861-3eb2-af72-149ee4cfc2e2,0,holliday,2025-07-29,"Lauer, Eric",SB
776962,a65eb744-1861-3eb2-af72-149ee4cfc2e2,0,holliday,2025-07-29,"Lauer, Eric",SB
776915,53e45164-1542-3fef-b7b3-300ff4eb3922,0,holliday,2025-08-01,"Horton, Cade",SB
776851,4a21ae02-ee9f-378f-a040-fbb33627665e,0,holliday,2025-08-06,"Romano, Jordan",CS
776643,3528aa40-3623-3fbe-bfbd-429ac359c685,0,holliday,2025-08-22,"Okert, Steven",SB
776533,b3444865-c780-3843-b02a-1a7dfc2e90aa,0,holliday,2025-08-29,"Ray, Robbie",SB
776507,5ebe7bb3-73f0-3f06-9f7f-b8be00d4f5e7,0,holliday,2025-08-31,"Verlander, Justin",SB
776480,2b478fc6-e428-3c3a-9952-697fa2f07d1f,0,holliday,2025-09-02,"Darvish, Yu",CS
776454,a1e1c884-47c3-3c5d-8461-1742b6a95dd6,0,holliday,2025-09-05,"Casparius, Ben",SB
776372,0ce23685-1d99-3614-99d7-9bd83a50729a,0,holliday,2025-09-11,"Holderman, Colin",SB
776353,841d1908-6108-32f4-99e2-4607a4995eac,0,holliday,2025-09-12,"Borucki, Ryan",SB
776343,b7bdf28b-719b-370c-8a18-ffee295c2a34,0,holliday,2025-09-13,"Fisher, Braydon",CS
