date,pitcher_name,pitcher_id,p_throws,base,result,run_value,lead_at_firstmove_ft,lead_at_release_ft,gain_to_release_ft,delivery_s,release_conf,usable,analysis_method,play_id,avg_velocity_ftps
2025-04-04,"Rodríguez, Yariel",684320,R,2B,SB,0.199,14.7,25.3,10.6,1.6074,0.87,True,full,0acc3b9e-1939-3c54-b112-45131062824e,6.595
2025-04-19,"Liberatore, Matthew",669461,L,2B,SB,0.198,11.6,25.7,14.1,1.0923,0.738,True,full,3e34f93d-48da-31fc-a4ac-7a4a2d6c08f7,12.909
2025-05-13,"Keller, Mitch",656605,R,2B,SB,0.2,17.8,31.8,14.0,1.0534,0.949,True,full,47d9c409-14a2-3f22-8df3-5a217e2440e1,13.29
2025-05-17,"Schmidt, Clarke",657376,R,3B,SB,0.198,14.6,41.0,26.3,0.9033,0.4,True,full,26fcb909-e43c-39bd-853c-bbce7137fc48,29.115
2025-05-19,"Wilson, Justin",458677,L,2B,SB,0.197,12.5,26.1,13.6,1.2833,0.41,True,full,0eba4e88-5603-31a4-adeb-d63c9f34b438,10.598
2025-05-25,"Knack, Landon",689017,R,2B,SB,0.198,14.7,32.8,18.1,1.4688,0.935,True,full,4dd51939-3744-311c-aadd-d378e7c5fb3c,12.323
2025-06-24,"Strider, Spencer",675911,R,2B,SB,0.198,16.8,29.9,13.2,1.1656,0.363,True,full,78b116fc-11d5-3d85-bcf9-2bcc869ee595,11.325
2025-07-02,"Peralta, Freddy",642547,R,2B,SB,0.2,14.4,30.9,16.4,1.3405,0.978,True,full,c789508a-fdab-312a-be62-f832f668c1f3,12.234
2025-07-10,"Sugano, Tomoyuki",608372,R,2B,SB,0.2,14.6,27.2,12.6,0.8458,0.689,True,full,7297e0f4-dc74-3412-ab4e-c58907dae9ba,14.897
2025-07-19,"Martinez, Nick",607259,R,2B,SB,0.2,14.5,29.3,14.8,1.5473,0.583,True,full,d648c578-b60a-3b3d-9e1a-cf0403d43740,9.565
2025-07-22,"Brogdon, Connor",641401,R,2B,SB,0.197,12.4,26.5,14.0,1.5099,0.652,True,full,187d0a40-a5b4-3b7d-91c9-c5c5b05831f6,9.272
2025-07-26,"Ray, Robbie",592662,L,2B,SB,0.198,13.5,28.4,14.8,1.2594,0.787,True,full,741be583-9059-3e92-9f81-d819eedfba86,11.752
2025-08-01,"Buttó, José",676130,R,2B,SB,0.202,13.6,37.6,24.0,1.5948,0.808,True,full,662eef7f-8d04-3915-a04c-137532e0912a,15.049
2025-08-05,"Allen, Logan",671106,L,2B,SB,0.201,13.7,22.4,8.6,0.9944,0.564,True,full,c539b405-f712-33b7-aef3-b9466bb8da1d,8.648
2025-08-10,"Priester, Quinn",682990,R,2B,SB,0.199,14.1,25.3,11.1,1.1669,0.959,True,full,90c8e4b0-b3e0-3dc5-a740-a9c567edba2a,9.512
2025-08-14,"Elder, Bryce",693821,R,2B,SB,0.197,13.5,25.0,11.5,1.113,0.953,True,full,df06ba28-581e-3eb6-b40a-73646bb38fe3,10.332
2025-08-17,"Kowar, Jackson",663804,R,2B,SB,0.199,,,,1.0798,0.67,True,full,66a73642-ab9b-43f5-a133-c5efdf20a2bb,
2025-08-30,"Cabrera, Edward",665795,R,2B,SB,0.189,14.7,28.3,13.6,1.0983,0.957,True,full,cad333e6-770d-3f33-8ed8-2edd73fcc5a5,12.383
2025-08-30,"Henriquez, Ronny",678692,R,2B,SB,0.194,16.0,26.8,10.8,1.6016,0.952,True,full,3da02488-865f-3644-8b6f-d2750084a1a1,6.743
2025-08-31,"Alcantara, Sandy",645261,R,3B,SB,0.198,17.8,34.6,16.9,1.1293,0.828,True,full,48f7f0cf-6ab2-307c-9f78-8022bbb8170e,14.965
2025-08-31,"Alcantara, Sandy",645261,,2B,FB,0.193,,,,,,False,full,12c024bd-a3c4-4b65-998f-6b69e5aae56f,
2025-09-02,"Gipson-Long, Sawyer",687830,R,2B,SB,0.197,15.4,31.1,15.6,1.1061,0.926,True,full,0c6dc21e-9a56-3240-8d29-35577d8c9791,14.104
2025-09-05,"Abbott, Andrew",671096,L,3B,SB,0.199,17.3,34.1,16.8,1.2963,0.947,True,full,ff5e352f-7ea6-3065-ba9f-9437ab5e8535,12.96
2025-09-06,"Barlow, Scott",605130,R,2B,SB,0.196,13.7,25.1,11.5,1.6444,0.926,True,full,a756565a-7617-31cf-8728-7f0ccc6abe8e,6.993
2025-09-09,"Banks, Tanner",621383,L,3B,SB,0.198,19.1,29.6,10.5,1.4822,0.988,True,capped_6s,f6ea875c-b135-3e2f-b93f-eeb1c85b92b9,7.084
2025-09-10,"Sánchez, Cristopher",650911,L,2B,SB,0.199,11.6,25.3,13.7,1.1638,0.898,True,full,aa6cf32c-3be2-3963-a6a3-a977caf8edd6,11.772
2025-09-18,"Marinaccio, Ron",676760,R,2B,SB,0.199,15.8,30.2,14.4,1.0524,0.676,True,full,1e431cc0-8c53-39a9-8a19-531eaf8213af,13.683
2025-09-19,"Rutledge, Jackson",671131,R,2B,SB,0.199,12.9,27.1,14.2,0.9919,0.984,True,full,082a0ddb-519d-36ca-ad97-887740105e58,14.316
2025-09-21,"Irvin, Jake",663623,,3B,BK,0.2,,,,,,False,full,86266702-bf3c-453d-b347-7eb1c9e87d19,
2025-09-23,"Horton, Cade",690990,R,2B,SB,0.204,14.0,31.6,17.5,0.0872,0.97,False,full,f55e4130-f795-300f-9086-135f851a3aa9,
2025-09-26,"Alcantara, Sandy",645261,R,2B,SB,0.193,14.9,23.7,8.8,1.287,0.967,True,full,f4a5478d-a308-374a-8dfc-53021c91c30c,6.838
2025-09-26,"Alcantara, Sandy",645261,R,2B,SB,0.193,14.2,23.4,9.2,0.8717,0.971,True,full,87d4d83b-08dd-326f-a867-cbd523bdc7ba,10.554
