date,pitcher_name,result,avg_velocity_ftps,lead_at_release_ft,delivery_s,analysis_method,soto_sprint_speed_ftps,soto_secondary_lead_sbx_ft
2025-05-17,"Schmidt, Clarke",SB,29.115,41.0,0.9033,full,25.8,28.83
2025-08-01,"Buttó, José",SB,15.049,37.6,1.5948,full,25.8,28.83
2025-08-31,"Alcantara, Sandy",SB,14.965,34.6,1.1293,full,25.8,28.83
2025-07-10,"Sugano, Tomoyuki",SB,14.897,27.2,0.8458,full,25.8,28.83
2025-09-19,"Rutledge, Jackson",SB,14.316,27.1,0.9919,full,25.8,28.83
2025-09-02,"Gipson-Long, Sawyer",SB,14.104,31.1,1.1061,full,25.8,28.83
2025-09-18,"Marinaccio, Ron",SB,13.683,30.2,1.0524,full,25.8,28.83
2025-05-13,"Keller, Mitch",SB,13.29,31.8,1.0534,full,25.8,28.83
2025-09-05,"Abbott, Andrew",SB,12.96,34.1,1.2963,full,25.8,28.83
2025-04-19,"Liberatore, Matthew",SB,12.909,25.7,1.0923,full,25.8,28.83
2025-08-30,"Cabrera, Edward",SB,12.383,28.3,1.0983,full,25.8,28.83
2025-05-25,"Knack, Landon",SB,12.323,32.8,1.4688,full,25.8,28.83
2025-07-02,"Peralta, Freddy",SB,12.234,30.9,1.3405,full,25.8,28.83
2025-09-10,"Sánchez, Cristopher",SB,11.772,25.3,1.1638,full,25.8,28.83
2025-07-26,"Ray, Robbie",SB,11.752,28.4,1.2594,full,25.8,28.83
2025-06-24,"Strider, Spencer",SB,11.325,29.9,1.1656,full,25.8,28.83
2025-05-19,"Wilson, Justin",SB,10.598,26.1,1.2833,full,25.8,28.83
2025-09-26,"Alcantara, Sandy",SB,10.554,23.4,0.8717,full,25.8,28.83
2025-08-14,"Elder, Bryce",SB,10.332,25.0,1.113,full,25.8,28.83
2025-07-19,"Martinez, Nick",SB,9.565,29.3,1.5473,full,25.8,28.83
2025-08-10,"Priester, Quinn",SB,9.512,25.3,1.1669,full,25.8,28.83
2025-07-22,"Brogdon, Connor",SB,9.272,26.5,1.5099,full,25.8,28.83
2025-08-05,"Allen, Logan",SB,8.648,22.4,0.9944,full,25.8,28.83
2025-09-09,"Banks, Tanner",SB,7.084,29.6,1.4822,capped_6s,25.8,28.83
2025-09-06,"Barlow, Scott",SB,6.993,25.1,1.6444,full,25.8,28.83
2025-09-26,"Alcantara, Sandy",SB,6.838,23.7,1.287,full,25.8,28.83
2025-08-30,"Henriquez, Ronny",SB,6.743,26.8,1.6016,full,25.8,28.83
2025-04-04,"Rodríguez, Yariel",SB,6.595,25.3,1.6074,full,25.8,28.83
2025-08-17,"Kowar, Jackson",SB,,,1.0798,full,25.8,28.83
2025-08-31,"Alcantara, Sandy",FB,,,,full,25.8,28.83
2025-09-21,"Irvin, Jake",BK,,,,full,25.8,28.83
2025-09-23,"Horton, Cade",SB,,31.6,0.0872,full,25.8,28.83
