clip_id,pitcher_name,pitcher_id,catcher_name,catcher_id,play_id,game_pk,at_bat_number,pitch_number,p_throws,fps,n_frames,analysis_frames,scene_cut_at,n_segments,segment_index,chosen_segment,set_frame,first_move_frame,release_frame,delivery_s,first_move_cue,leg_lift_frame,hand_break_frame,release_method,release_kpt_conf,good_track,in_band,release_pre_cut,usable,confidence,qa_video,pitcher_track_id,status
young_023853e1_peralta_L.mp4,Wandy Peralta,593974,Elias Díaz,553869,023853e1-125b-3cbc-bdf7-0ff25b5a29d9,777382,49,3,L,59.721,582,126,126,5,0,[0:126],92,102.54,109.36,0.1142,leg_lift,102.54,112.0,extension_collapse,0.798,True,False,True,False,0.75,young_023853e1_peralta_L_annotated.mp4,2,ok
young_0af6700f_anderson_R.mp4,Grant Anderson,681982,William Contreras,661388,0af6700f-dc2c-3750-a5f2-b5e1fe4d635c,777135,69,4,R,59.763,788,269,269,3,0,[0:269],123,126.23,179.5,0.8914,leg_lift,126.23,152.0,extension_collapse,0.884,True,True,True,True,1.0,young_0af6700f_anderson_R_annotated.mp4,138,ok
young_17af7e6a_latz_L.mp4,Jacob Latz,656641,Jonah Heim,641680,17af7e6a-8d89-3486-8923-ad36fa7d5090,777596,22,7,L,59.87,2008,161,161,6,0,[0:161],68,108.04,142.5,0.5755,leg_lift,108.04,123.0,extension_collapse,0.989,True,False,True,False,0.75,young_17af7e6a_latz_L_annotated.mp4,195,ok
young_2d13f0a1_jansen_R.mp4,Kenley Jansen,445276,Logan O'Hoppe,681351,2d13f0a1-e619-3a90-9b84-4e0a7d6fa6c8,777305,71,1,R,59.742,700,190,170,3,1,[170:360],184,182.37,236.34,0.9035,leg_lift,182.37,,extension_collapse,0.957,True,True,True,True,1.0,young_2d13f0a1_jansen_R_annotated.mp4,818,ok
young_404b9563_wheeler_R.mp4,Zack Wheeler,554430,J.T. Realmuto,592663,404b9563-0fd8-32b1-ade7-6de0c9f7b297,778555,38,4,R,59.707,556,497,497,2,0,[0:497],67,119.6,184.44,1.0858,leg_lift,119.6,146.0,extension_collapse,0.655,True,True,True,True,1.0,young_404b9563_wheeler_R_annotated.mp4,818,ok
young_49a1debb_dollander_R.mp4,Chase Dollander,801403,Hunter Goodman,696100,49a1debb-307d-38f8-a168-82faf7c4454a,777445,19,3,R,59.748,712,322,156,3,1,[156:478],163,165.08,177.5,0.2079,leg_lift,165.08,,extension_collapse,0.937,True,False,True,False,0.75,young_49a1debb_dollander_R_annotated.mp4,1067,ok
young_49c3056a_povich_L.mp4,Cade Povich,700249,Adley Rutschman,668939,49c3056a-fcc4-3040-a5d5-1066677fc1ee,777907,42,4,L,59.689,594,594,-1,1,0,[0:594],5,169.51,180.6,0.1858,leg_lift,169.51,173.0,extension_collapse,0.554,True,False,True,False,0.75,young_49c3056a_povich_L_annotated.mp4,1216,ok
young_4c66ffc1_banda_L.mp4,Anthony Banda,607455,Dalton Rushing,687221,4c66ffc1-6eeb-3d21-85d6-ca0b11119b89,777398,52,2,L,59.705,626,388,156,3,1,[156:544],161,278.53,314.61,0.6043,leg_lift,278.53,,extension_collapse,0.433,True,False,True,False,0.75,young_4c66ffc1_banda_L_annotated.mp4,1332,ok
young_69c28c70_halvorsen_R.mp4,Seth Halvorsen,678020,Braxton Fulford,690924,69c28c70-f08e-3697-9999-441380116cbd,778235,64,2,R,59.867,1970,215,503,6,2,[551:766],556,589.75,686.34,1.6135,leg_lift,589.75,,extension_collapse,0.981,True,True,True,True,1.0,young_69c28c70_halvorsen_R_annotated.mp4,1555,ok
young_777f50ea_morejon_L.mp4,Adrian Morejon,670970,Martín Maldonado,455117,777f50ea-dbfd-3e5d-8cc9-c2b67364362b,777372,30,2,L,59.719,614,614,-1,1,0,[0:614],5,295.14,361.0,1.1028,leg_lift,295.14,309.0,extension_collapse,0.389,True,True,True,True,1.0,young_777f50ea_morejon_L_annotated.mp4,1686,ok
