pitcher_name,result,avg_velocity_ftps,lead_at_release_ft,delivery_s,naylor_sprint_speed_ftps,naylor_secondary_lead_sbx_ft
Tatsuya Imai,SB,15.873,40.2,0.9576,24.5,28.15
Andre Pallante,SB,11.895,39.8,1.3031,24.5,28.15
Brandon Eisert,SB,10.494,29.4,1.0768,24.5,28.15
Joe Ryan,CS,10.307,21.6,0.815,24.5,28.15
Ryne Stanek,SB,9.832,27.1,0.8645,24.5,28.15
Noah Schultz,SB,8.692,24.0,1.1275,24.5,28.15
Bryce Elder,SB,5.819,21.2,1.5294,24.5,28.15
Didier Fuentes,SB,5.269,26.6,1.4233,24.5,28.15
Matthew Liberatore,SB,5.193,25.6,1.6176,24.5,28.15
Raisel Iglesias,SB,,25.9,,24.5,28.15
