game_pk,play_id,is_naylor,clip_prefix,date,pitcher_name,result
778465,0acc3b9e-1939-3c54-b112-45131062824e,0,soto,2025-04-04,"Rodríguez, Yariel",SB
778256,3e34f93d-48da-31fc-a4ac-7a4a2d6c08f7,0,soto,2025-04-19,"Liberatore, Matthew",SB
777943,47d9c409-14a2-3f22-8df3-5a217e2440e1,0,soto,2025-05-13,"Keller, Mitch",SB
777888,26fcb909-e43c-39bd-853c-bbce7137fc48,0,soto,2025-05-17,"Schmidt, Clarke",SB
777856,0eba4e88-5603-31a4-adeb-d63c9f34b438,0,soto,2025-05-19,"Wilson, Justin",SB
777773,4dd51939-3744-311c-aadd-d378e7c5fb3c,0,soto,2025-05-25,"Knack, Landon",SB
777387,78b116fc-11d5-3d85-bcf9-2bcc869ee595,0,soto,2025-06-24,"Strider, Spencer",SB
777289,c789508a-fdab-312a-be62-f832f668c1f3,0,soto,2025-07-02,"Peralta, Freddy",SB
777276,c789508a-fdab-312a-be62-f832f668c1f3,0,soto,2025-07-02,"Peralta, Freddy",SB
777165,7297e0f4-dc74-3412-ab4e-c58907dae9ba,0,soto,2025-07-10,"Sugano, Tomoyuki",SB
777181,7297e0f4-dc74-3412-ab4e-c58907dae9ba,0,soto,2025-07-10,"Sugano, Tomoyuki",SB
777092,d648c578-b60a-3b3d-9e1a-cf0403d43740,0,soto,2025-07-19,"Martinez, Nick",SB
777054,187d0a40-a5b4-3b7d-91c9-c5c5b05831f6,0,soto,2025-07-22,"Brogdon, Connor",SB
776985,741be583-9059-3e92-9f81-d819eedfba86,0,soto,2025-07-26,"Ray, Robbie",SB
776926,662eef7f-8d04-3915-a04c-137532e0912a,0,soto,2025-08-01,"Buttó, José",SB
776863,c539b405-f712-33b7-aef3-b9466bb8da1d,0,soto,2025-08-05,"Allen, Logan",SB
776799,90c8e4b0-b3e0-3dc5-a740-a9c567edba2a,0,soto,2025-08-10,"Priester, Quinn",SB
776748,df06ba28-581e-3eb6-b40a-73646bb38fe3,0,soto,2025-08-14,"Elder, Bryce",SB
776707,66a73642-ab9b-43f5-a133-c5efdf20a2bb,0,soto,2025-08-17,"Kowar, Jackson",SB
776535,cad333e6-770d-3f33-8ed8-2edd73fcc5a5,0,soto,2025-08-30,"Cabrera, Edward",SB
776535,3da02488-865f-3644-8b6f-d2750084a1a1,0,soto,2025-08-30,"Henriquez, Ronny",SB
776519,48f7f0cf-6ab2-307c-9f78-8022bbb8170e,0,soto,2025-08-31,"Alcantara, Sandy",SB
776519,12c024bd-a3c4-4b65-998f-6b69e5aae56f,0,soto,2025-08-31,"Alcantara, Sandy",FB
776490,0c6dc21e-9a56-3240-8d29-35577d8c9791,0,soto,2025-09-02,"Gipson-Long, Sawyer",SB
776450,ff5e352f-7ea6-3065-ba9f-9437ab5e8535,0,soto,2025-09-05,"Abbott, Andrew",SB
776439,a756565a-7617-31cf-8728-7f0ccc6abe8e,0,soto,2025-09-06,"Barlow, Scott",SB
776404,f6ea875c-b135-3e2f-b93f-eeb1c85b92b9,0,soto,2025-09-09,"Banks, Tanner",SB
776384,aa6cf32c-3be2-3963-a6a3-a977caf8edd6,0,soto,2025-09-10,"Sánchez, Cristopher",SB
776276,1e431cc0-8c53-39a9-8a19-531eaf8213af,0,soto,2025-09-18,"Marinaccio, Ron",SB
776259,082a0ddb-519d-36ca-ad97-887740105e58,0,soto,2025-09-19,"Rutledge, Jackson",SB
776237,86266702-bf3c-453d-b347-7eb1c9e87d19,0,soto,2025-09-21,"Irvin, Jake",BK
776209,f55e4130-f795-300f-9086-135f851a3aa9,0,soto,2025-09-23,"Horton, Cade",SB
776173,f4a5478d-a308-374a-8dfc-53021c91c30c,0,soto,2025-09-26,"Alcantara, Sandy",SB
776173,87d4d83b-08dd-326f-a867-cbd523bdc7ba,0,soto,2025-09-26,"Alcantara, Sandy",SB
