date,pitcher_name,pitcher_id,p_throws,base,result,run_value,lead_at_firstmove_ft,lead_at_release_ft,gain_to_release_ft,delivery_s,release_conf,usable,analysis_method,play_id,avg_velocity_ftps
2025-03-27,"Wheeler, Zack",554430,R,2B,CS,-0.45,12.2,21.5,9.3,1.0858,0.655,True,full,404b9563-0fd8-32b1-ade7-6de0c9f7b297,8.565
2025-04-20,"Halvorsen, Seth",678020,R,2B,SB,0.197,13.3,23.7,10.3,1.6135,0.981,True,full,69c28c70-f08e-3697-9999-441380116cbd,6.384
2025-05-03,"Lodolo, Nick",666157,L,3B,SB,0.2,15.9,26.9,11.0,1.2275,0.936,True,full,8e3be5df-7eee-374d-abd8-4efc58aa9a5a,8.961
2025-05-06,"Ortiz, Luis",682847,R,2B,SB,0.199,12.7,20.4,7.7,1.6462,0.973,True,full,a2d9c3f3-878f-381b-a3ed-99af21e8cce8,4.677
2025-05-16,"Povich, Cade",700249,L,2B,CS,-0.449,13.3,23.4,10.1,0.1858,0.554,False,full,49c3056a-fcc4-3040-a5d5-1066677fc1ee,
2025-06-08,"Latz, Jacob",656641,L,2B,CS,-0.452,12.7,22.7,10.0,0.5755,0.989,False,full,17af7e6a-8d89-3486-8923-ad36fa7d5090,
2025-06-18,"Márquez, Germán",608566,R,2B,CS,-0.453,12.4,20.7,8.3,1.6346,0.002,False,full,a06136e7-8578-37b8-ad47-7f14d429e7f7,
2025-06-19,"Dollander, Chase",801403,R,2B,CS,-0.454,12.7,22.3,9.5,0.2079,0.937,False,full,49a1debb-307d-38f8-a168-82faf7c4454a,
2025-06-22,"Banda, Anthony",607455,L,2B,CS,-0.453,14.4,27.8,13.4,0.6043,0.433,False,full,4c66ffc1-6eeb-3d21-85d6-ca0b11119b89,
2025-06-23,"Peralta, Wandy",593974,L,3B,SB,0.199,15.8,31.4,15.6,0.1142,0.798,False,full,023853e1-125b-3cbc-bdf7-0ff25b5a29d9,
2025-06-24,"Morejon, Adrian",670970,L,2B,SB,0.196,13.4,26.4,13.0,1.1028,0.389,True,full,777f50ea-dbfd-3e5d-8cc9-c2b67364362b,11.788
2025-06-29,"Jansen, Kenley",445276,R,2B,SB,0.194,16.8,29.0,12.2,0.9035,0.957,True,full,2d13f0a1-e619-3a90-9b84-4e0a7d6fa6c8,13.503
2025-07-12,"Anderson, Grant",681982,R,2B,SB,0.2,13.1,18.1,5.0,0.8914,0.884,True,full,0af6700f-dc2c-3750-a5f2-b5e1fe4d635c,5.609
2025-08-09,"Gage, Matt",657424,L,2B,CS,-0.451,14.6,20.1,5.5,0.2156,0.975,False,full,af36d6d8-be95-3239-aef0-7be2ef21201e,
2025-08-09,"Whisenhunt, Carson",687931,L,2B,SB,0.197,14.7,23.3,8.6,1.4756,0.91,True,full,7f066664-e8f5-3be3-88ad-a1901ff61b43,5.828
2025-08-10,"Verlander, Justin",434378,R,2B,SB,0.2,12.9,21.5,8.6,1.4666,0.86,True,full,908c8b84-c31c-30bb-a842-42b80d9c2e11,5.864
2025-08-16,"Romano, Jordan",605447,R,2B,SB,0.194,13.8,23.9,10.1,1.0496,0.829,True,full,b3a84692-c1df-30da-9051-a66b2dc14b22,9.623
2025-08-25,"Schlittler, Cam",693645,,2B,PK,-0.451,,,,,,False,full,369c6823-baad-342a-a99d-6e2ffcf13b93,
2025-09-02,"Mazur, Adam",800049,R,2B,SB,0.2,12.5,14.0,1.5,1.4249,0.527,False,full,8d52526e-4761-385e-a49f-87d7fc8294a8,
2025-09-21,"Holmes, Clay",605280,R,3B,SB,0.2,18.9,36.3,17.4,1.5327,0.824,True,full,d59afac9-0d76-32d6-840e-2b70469d0db3,11.353
