pitcher_id,pitcher_name,p_throws,game_pk,play_id,is_naylor
666205,Kyle Muller,L,745687,d21c5fbb-d373-42c1-a6fb-ef1659bad0a4,1
666205,Kyle Muller,L,747045,1c233bbb-ce74-406f-9dae-fee7efd898c6,0
666205,Kyle Muller,L,745659,08d41ea7-74bc-48a2-93a3-c6caa40d91d7,0
641482,Nestor Cortes,L,746648,2df43783-b547-430a-a7bd-4cfb6c4af3ce,1
641482,Nestor Cortes,L,747220,bd84f245-6e69-468e-a204-a9ba2e0d064b,0
641482,Nestor Cortes,L,745755,3edefb43-d4e9-4635-ad4b-f2f1c9e7201a,0
455119,Chris Martin,R,746646,050d8599-ba66-4d93-8ff7-18650e4df0fc,1
455119,Chris Martin,R,746646,809a3752-ed83-4cb0-8fdb-4cc9f2f00681,0
455119,Chris Martin,R,746646,cb402d93-5cfd-4a83-a072-c93950e931e0,0
519242,Chris Sale,L,747129,977c39d5-93f9-498f-a13e-4bab975e6bbd,1
519242,Chris Sale,L,747129,8532aa41-e41a-4c22-a71e-69316499cdaf,0
519242,Chris Sale,L,747121,613f3858-4d2c-489d-bb94-4845744c88d0,0
681982,Grant Anderson,R,745014,4cf1925d-4dfc-4f2f-85d3-609752b7bea5,1
681982,Grant Anderson,R,746553,e7b469ba-c76a-4bd4-85cd-d562cc075ec5,0
681982,Grant Anderson,R,745016,5bdaa70b-960f-4266-9aa1-d62fbdbdaa19,0
689225,Beau Brieske,R,746611,fa1334eb-0ae0-4c7f-9a49-6e0368feb283,1
689225,Beau Brieske,R,746378,742ec592-9aa7-49e0-adef-175432fb7aca,0
689225,Beau Brieske,R,746210,8d36bb05-529c-4f68-af6a-7347a97b8927,0
672578,Carlos Hernández,R,746265,ea0116d0-504b-4cbf-b8cf-4d02952f412a,1
672578,Carlos Hernández,R,745088,ceda9c36-defb-4309-bb67-acad76461e43,0
672578,Carlos Hernández,R,745903,f255f43d-d157-4138-b22b-27a2433a3f1d,0
