runner_id,name,name_tag,team,position,sb,cs,attempts,success_pct,sprint_speed_ftps,sprint_pctile,hp_to_1b_s,seasons
683083,Nasim Nuñez,nuñez,WSH,2B,22,2,24,91.7,29.7,97.5,4.17,2026
608070,José Ramírez,ramírez,CLE,3B,20,2,22,90.9,27.3,49.1,4.41,2026
802415,Chandler Simpson,simpson,TB,LF,14,8,22,63.6,29.6,96.6,3.98,2026
805300,Jakob Marsee,marsee,MIA,CF,14,7,21,66.7,27.9,66.3,4.35,2026
665833,Oneil Cruz,cruz,PIT,CF,17,3,20,85.0,28.1,70.6,4.38,2026
665487,Fernando Tatis Jr.,jr,SD,RF,14,6,20,70.0,28.9,90.8,4.33,2026
677951,Bobby Witt Jr.,jr,KC,SS,16,3,19,84.2,30.5,100.0,4.16,2026
676609,José Caballero,caballero,NYY,SS,13,6,19,68.4,28.2,74.5,4.27,2026
668227,Randy Arozarena,arozarena,SEA,LF,15,2,17,88.2,27.1,44.5,4.43,2026
665862,Jazz Chisholm Jr.,jr,NYY,2B,13,3,16,81.2,28.4,80.7,4.24,2026
691718,Pete Crow-Armstrong,crowarmstrong,CHC,CF,12,4,16,75.0,29.2,93.8,4.27,2026
804606,Konnor Griffin,griffin,PIT,SS,14,1,15,93.3,29.9,98.6,4.27,2026
656775,Cedric Mullins,mullins,TB,CF,10,5,15,66.7,27.4,54.4,4.38,2026
647304,Josh Naylor,naylor,SEA,1B,12,2,14,85.7,24.6,2.5,4.73,2026
660670,Ronald Acuña Jr.,jr,ATL,RF,10,4,14,71.4,27.2,46.8,4.44,2026
682829,Elly De La Cruz,cruz,CIN,SS,9,5,14,64.3,28.3,78.0,4.40,2026
666152,David Hamilton,hamilton,MIL,3B,10,3,13,76.9,29.4,95.4,4.01,2026
672640,Otto Lopez,lopez,MIA,SS,10,3,13,76.9,28.5,84.4,4.22,2026
682928,CJ Abrams,abrams,WSH,SS,9,4,13,69.2,28.5,83.5,4.25,2026
677587,Brayan Rocchio,rocchio,CLE,SS,9,4,13,69.2,27.3,49.8,4.52,2026
687263,Zach Neto,neto,LAA,SS,7,6,13,53.8,27.6,59.6,4.40,2026
607208,Trea Turner,turner,PHI,SS,11,1,12,91.7,30.0,98.9,4.25,2026
807712,Luke Keaschall,keaschall,MIN,2B,10,2,12,83.3,28.6,86.7,4.27,2026
701398,Sal Stewart,stewart,CIN,1B,10,2,12,83.3,26.5,27.3,4.70,2026
803011,Sam Antonacci,antonacci,CWS,LF,8,4,12,66.7,28.3,79.1,4.33,2026
668885,Austin Martin,martin,MIN,LF,7,5,12,58.3,27.8,64.4,4.49,2026
663538,Nico Hoerner,hoerner,CHC,2B,10,1,11,90.9,28.4,81.7,4.34,2026
695578,James Wood,wood,WSH,RF,10,1,11,90.9,27.6,58.9,4.24,2026
701807,Carson Benge,benge,NYM,RF,9,2,11,81.8,28.5,84.2,4.27,2026
686668,Brenton Doyle,doyle,COL,CF,9,2,11,81.8,28.7,87.4,4.33,2026
664983,Jake McCarthy,mccarthy,COL,CF,9,2,11,81.8,29.8,97.9,4.18,2026
668930,Brice Turang,turang,MIL,2B,9,2,11,81.8,28.6,86.0,4.31,2026
672695,Geraldo Perdomo,perdomo,AZ,SS,8,3,11,72.7,26.8,35.6,4.57,2026
680700,Richie Palacios,palacios,TB,2B,7,4,11,63.6,27.1,44.3,4.35,2026
687363,Victor Scott II,ii,STL,CF,7,4,11,63.6,29.6,95.9,4.16,2026
669003,Garrett Mitchell,mitchell,MIL,CF,6,5,11,54.5,29.6,96.1,4.10,2026
680776,Jarren Duran,duran,BOS,LF,10,0,10,100.0,29.0,92.9,4.22,2026
701538,Jackson Merrill,merrill,SD,CF,10,0,10,100.0,28.6,84.9,4.26,2026
681082,Bryson Stott,stott,PHI,2B,10,0,10,100.0,28.5,83.9,4.28,2026
683953,Travis Bazzana,bazzana,CLE,2B,8,2,10,80.0,28.3,77.5,4.22,2026
669364,Xavier Edwards,edwards,MIA,2B,8,2,10,80.0,28.1,72.2,4.24,2026
682657,Angel Martínez,martínez,CLE,LF,8,2,10,80.0,27.7,60.1,4.40,2026
691023,Jordan Walker,walker,STL,RF,7,3,10,70.0,29.1,93.3,4.37,2026
656537,Derek Hill,hill,CWS,RF,6,4,10,60.0,29.2,94.3,,2026
593428,Xander Bogaerts,bogaerts,SD,SS,9,0,9,100.0,27.3,50.7,4.46,2026
694497,Evan Carter,carter,TEX,CF,9,0,9,100.0,28.8,89.4,4.17,2026
678246,Miguel Vargas,vargas,CWS,3B,9,0,9,100.0,28.1,71.1,4.35,2026
682668,Luisangel Acuña,acuña,CWS,CF,8,1,9,88.9,29.6,96.8,4.23,2026
665923,Esteury Ruiz,ruiz,MIA,RF,8,1,9,88.9,29.9,98.4,,2026
702222,Justin Crawford,crawford,PHI,CF,7,2,9,77.8,29.7,97.2,4.15,2026
680574,Matt McLain,mclain,CIN,2B,7,2,9,77.8,28.6,85.3,4.32,2026
681624,Andy Pages,pages,LAD,CF,7,2,9,77.8,28.1,72.0,4.40,2026
683002,Gunnar Henderson,henderson,BAL,SS,6,3,9,66.7,28.1,70.4,4.27,2026
681393,Connor Norby,norby,MIA,1B,6,3,9,66.7,28.1,72.5,4.50,2026
805808,Kevin McGonigle,mcgonigle,DET,SS,8,0,8,100.0,28.1,72.7,4.37,2026
682998,Corbin Carroll,carroll,AZ,RF,7,1,8,87.5,29.7,97.7,4.12,2026
657656,Ramón Laureano,laureano,SD,LF,7,1,8,87.5,28.0,69.7,4.30,2026
622761,Jorge Mateo,mateo,ATL,SS,7,1,8,87.5,30.4,99.8,4.15,2026
701358,Cam Smith,smith,HOU,RF,7,1,8,87.5,29.3,95.0,4.35,2026
677942,Blaze Alexander,alexander,BAL,3B,6,2,8,75.0,28.4,79.6,4.44,2026
676356,Jonny DeLuca,deluca,TB,RF,6,2,8,75.0,29.2,93.6,4.27,2026
699912,Jose Fernandez,fernandez,AZ,DH,6,2,8,75.0,29.5,95.6,4.34,2026
660271,Shohei Ohtani,ohtani,LAD,DH,6,2,8,75.0,27.3,50.0,4.22,2026
670764,Taylor Walls,walls,TB,SS,6,2,8,75.0,27.8,65.4,4.40,2026
641355,Cody Bellinger,bellinger,NYY,LF,5,3,8,62.5,27.6,58.5,4.20,2026
592450,Aaron Judge,judge,NYY,RF,5,3,8,62.5,26.7,33.3,4.84,2026
678882,Ceddanne Rafaela,rafaela,BOS,CF,4,4,8,50.0,28.9,90.6,4.19,2026
665926,Andrés Giménez,giménez,TOR,SS,6,1,7,85.7,27.6,59.2,4.34,2026
701762,Nick Kurtz,kurtz,ATH,1B,6,1,7,85.7,26.7,34.6,4.49,2026
663968,Jake Mangum,mangum,PIT,LF,6,1,7,85.7,29.2,94.7,4.07,2026
665750,Leody Taveras,taveras,BAL,CF,6,1,7,85.7,29.0,91.3,4.28,2026
665019,Kody Clemens,clemens,MIN,1B,5,2,7,71.4,27.5,55.7,4.35,2026
681715,Heriberto Hernández,hernández,MIA,LF,5,2,7,71.4,28.6,85.6,4.36,2026
677594,Julio Rodríguez,rodríguez,SEA,CF,5,2,7,71.4,28.7,88.1,4.33,2026
665742,Juan Soto,soto,NYM,LF,5,2,7,71.4,25.9,18.8,4.46,2026
805999,A.J. Ewing,ewing,NYM,CF,4,3,7,57.1,29.0,92.7,,2026
672580,Maikel Garcia,garcia,KC,3B,4,3,7,57.1,27.8,65.1,4.47,2026
695734,Daylen Lile,lile,WSH,LF,4,3,7,57.1,29.2,94.0,4.23,2026
687401,Joey Ortiz,ortiz,MIL,SS,4,3,7,57.1,28.5,82.1,4.37,2026
680869,Zack Gelof,gelof,ATH,3B,6,0,6,100.0,28.8,89.0,4.35,2026
802139,JJ Wetherholt,wetherholt,STL,2B,6,0,6,100.0,27.3,50.2,4.30,2026
677649,Ezequiel Duran,duran,TEX,2B,5,1,6,83.3,28.8,89.9,4.28,2026
665489,Vladimir Guerrero Jr.,jr,TOR,1B,5,1,6,83.3,26.0,20.4,4.58,2026
808975,Hyeseong Kim,kim,LAD,SS,5,1,6,83.3,28.8,89.2,4.09,2026
