season,rank,runner_id,player_name,sprint_speed,accel_0_30,r_primary_lead,r_sec_minus_prim_lead,pre_rel_vel_avg,post_rel_dist_avg,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,r_sec_minus_prim_lead
2015,1,605141,Mookie Betts,28.7,1.74,12.429531646,5.642240506,,,,21,6,0.7779267625778227,0.003608618608187286,5.642240506
2015,2,608070,José Ramírez,28.0,1.74,12.295364583,5.031840278,,,,10,4,0.7312450738152803,-0.031203405062153466,5.031840278
2015,3,608070,José Ramírez,28.0,1.72,12.295364583,5.031840278,,,,10,4,0.7312450738152803,-0.031203405062153466,5.031840278
2015,4,547180,Bryce Harper,27.7,1.8,11.668186722,4.916755187,,,,6,4,0.659577093499355,-0.09958270557344351,4.916755187
2015,5,592663,J.T. Realmuto,28.8,1.75,12.115241176,4.642758824,,,,8,4,0.6996268472053133,-0.0768665150782244,4.642758824
2015,6,593428,Xander Bogaerts,28.3,1.78,12.125084821,4.347678571,,,,10,2,0.8172739060288426,0.050457755634417345,4.347678571
2015,7,543760,Marcus Semien,28.9,1.72,12.177804233,3.618862434,,,,11,5,0.7092217334519203,-0.06956673511355815,3.618862434
2015,8,621043,Carlos Correa,28.3,1.77,10.345008299,3.599082988,,,,14,4,0.7779850609778403,0.01116891058341496,3.599082988
2015,9,596019,Francisco Lindor,28.4,1.75,12.0631875,3.421482143,,,,12,2,0.8365082317100171,0.06799641487384844,3.421482143
2015,10,596019,Francisco Lindor,28.4,1.72,12.0631875,3.421482143,,,,12,2,0.8365082317100171,0.06799641487384844,3.421482143
2015,11,606466,Ketel Marte,28.1,1.75,9.871389474,3.392936842,,,,8,4,0.6996268472053133,-0.06415763420974407,3.392936842
2015,12,606466,Ketel Marte,28.1,1.72,9.871389474,3.392936842,,,,8,4,0.6996268472053133,-0.06415763420974407,3.392936842
2015,13,592518,Manny Machado,27.4,1.78,11.762858491,3.305216981,,,,20,8,0.7240501940148584,-0.03289991696566308,3.305216981
2015,14,543807,George Springer,28.8,1.71,11.20488601,3.301772021,,,,16,4,0.795746256099613,0.01925289381607531,3.301772021
2015,15,592626,Joc Pederson,27.2,1.76,10.410209945,3.28240884,,,,4,7,0.4933535251556453,-0.26272290027022277,3.28240884
2016,1,605141,Mookie Betts,27.9,1.74,12.429531646,5.642240506,,,,26,4,0.8541044686425807,0.09287210433473225,5.642240506
2016,2,608070,José Ramírez,27.9,1.77,12.295364583,5.031840278,,,,22,7,0.7615781294850096,0.000345765177161117,5.031840278
2016,3,608070,José Ramírez,27.9,1.72,12.295364583,5.031840278,,,,22,7,0.7615781294850096,0.000345765177161117,5.031840278
2016,4,547180,Bryce Harper,27.3,1.78,11.668186722,4.916755187,,,,21,10,0.6914904556247312,-0.06496286859444345,4.916755187
2016,5,595879,Javier Báez,28.8,1.75,10.957180952,4.696933333,,,,12,3,0.7946828201245163,0.018189457840978585,4.696933333
2016,6,592663,J.T. Realmuto,28.8,1.76,12.115241176,4.642758824,,,,12,4,0.7568407810709679,-0.019652581212569853,4.642758824
2016,7,593428,Xander Bogaerts,28.3,1.77,12.125084821,4.347678571,,,,13,4,0.7678934728404694,0.0010773224460440822,4.347678571
2016,8,596115,Trevor Story,29.6,1.73,12.970051546,4.217072165,,,,8,5,0.6607586890272403,-0.1374523866169397,4.217072165
2016,9,553993,Eugenio Suárez,27.4,1.8,10.978256944,3.666729167,,,,11,5,0.7092217334519203,-0.04772837752860115,3.666729167
2016,10,543760,Marcus Semien,28.4,1.76,12.177804233,3.618862434,,,,10,2,0.8172739060288426,0.048762089192673996,3.618862434
2016,11,621043,Carlos Correa,28.0,1.78,10.345008299,3.599082988,,,,13,3,0.8044598286900155,0.04201134981258181,3.599082988
2016,12,607208,Trea Turner,30.0,1.73,11.411938596,3.574809942,,,,33,6,0.8384921909656892,0.026544947408236763,3.574809942
2016,13,596019,Francisco Lindor,27.1,1.78,12.0631875,3.421482143,,,,19,5,0.7894364276720802,0.03361701307147946,3.421482143
2016,14,596019,Francisco Lindor,27.1,1.74,12.0631875,3.421482143,,,,19,5,0.7894364276720802,0.03361701307147946,3.421482143
2016,15,606466,Ketel Marte,28.4,1.74,9.871389474,3.392936842,,,,11,5,0.7092217334519203,-0.05929008338424835,3.392936842
2017,1,605141,Mookie Betts,27.9,1.75,12.429531646,5.642240506,,,,26,3,0.879225188308539,0.11799282400069055,5.642240506
2017,2,624428,Adam Frazier,27.5,1.76,12.576537879,5.210234848,,,,9,5,0.6786134948679119,-0.07895329084199565,5.210234848
2017,3,608070,José Ramírez,27.9,1.76,12.295364583,5.031840278,,,,17,5,0.7738391260181602,0.01260676171031172,5.031840278
2017,4,608070,José Ramírez,27.9,1.72,12.295364583,5.031840278,,,,17,5,0.7738391260181602,0.01260676171031172,5.031840278
2017,5,595879,Javier Báez,28.5,1.77,10.957180952,4.696933333,,,,10,3,0.7718698001383514,0.0015424288924000829,4.696933333
2017,6,592663,J.T. Realmuto,28.6,1.76,12.115241176,4.642758824,,,,8,2,0.7929104268326884,0.020647613208914284,4.642758824
2017,7,664023,Ian Happ,28.8,1.75,10.538212454,4.404992674,,,,8,4,0.6996268472053133,-0.0768665150782244,4.404992674
2017,8,664023,Ian Happ,28.8,1.76,10.538212454,4.404992674,,,,8,4,0.6996268472053133,-0.0768665150782244,4.404992674
2017,9,593428,Xander Bogaerts,28.3,1.78,12.125084821,4.347678571,,,,15,1,0.8996979239281108,0.13288177353368547,4.347678571
2017,10,518692,Freddie Freeman,26.6,1.81,12.235060811,4.331902027,,,,8,5,0.6607586890272403,-0.09557399096761876,4.331902027
2017,11,593871,Jorge Polanco,28.4,1.77,12.317263158,3.988017544,,,,13,5,0.7345068001082751,-0.03400501672789358,3.988017544
2017,12,593871,Jorge Polanco,28.4,1.79,12.317263158,3.988017544,,,,13,5,0.7345068001082751,-0.03400501672789358,3.988017544
