feature,mean_abs_shap
inning,0.24932488845545245
r_primary_lead,0.22130322970094915
post_rel_dist,0.1969954188939757
pitcher_lead_gain_allowed,0.1780452805070406
maxeff_arm_2b_3b_sba,0.14318998231285862
accel_gap,0.11706942945452964
exchange_2b_3b_sba,0.10189706882664293
pop_2b_sba,0.10030258163197996
sprint_speed,0.08906460600804987
total_90,0.058697943612670646
accel_0_30,0.058449097056582286
r_secondary_lead,0.04420151516232031
matchup_lead_diff,0.04349945405689747
accel_5_30,0.0406761235844682
maintain_30_90,0.040417192024768456
outs_when_up,0.03990676012618751
pre_rel_vel,0.035104738061515484
r_sec_minus_prim_lead,0.031919618444318315
bolts,0.027523402997710708
balls,0.0
strikes,0.0
is_count_HL,0.0
