epoch,feature,importance
full,sprint_speed,0.1221
full,speed_capped,0.0235
full,jump_time,0.2008
full,accel_phase,0.1528
full,top_speed_phase,0.135
full,total_90,0.2744
full,accel_gap,0.2158
full,bolts,0.0986
full,dist_to_top_speed_ft,0.0208
full,accel_topspeed_gap,0.1936
full,primary_lead,0.1283
full,secondary_lead,0.1461
full,lead_gain,0.0732
full,avg_pop_faced,0.1491
full,avg_pickoff_rate_faced,0.0731
full,weak_arm_share,0.0112
full,two_strike_share,0.0047
full,avg_pre_release_velocity,0.0989
full,avg_post_release_distance,0.2157
full,n_attempts,0.0659
pre_2023,sprint_speed,0.2876
pre_2023,speed_capped,0.0031
pre_2023,jump_time,0.2268
pre_2023,accel_phase,0.2519
pre_2023,top_speed_phase,0.114
pre_2023,total_90,0.082
pre_2023,accel_gap,0.2681
pre_2023,bolts,0.2797
pre_2023,dist_to_top_speed_ft,0.017
pre_2023,accel_topspeed_gap,0.1908
pre_2023,primary_lead,0.2007
pre_2023,secondary_lead,0.1925
pre_2023,lead_gain,0.1826
pre_2023,avg_pop_faced,0.2614
pre_2023,avg_pickoff_rate_faced,0.0904
pre_2023,weak_arm_share,0.287
pre_2023,two_strike_share,0.0021
pre_2023,avg_pre_release_velocity,0.2038
pre_2023,avg_post_release_distance,0.2617
pre_2023,n_attempts,0.2745
post_2023,sprint_speed,0.1432
post_2023,speed_capped,0.0669
post_2023,jump_time,0.048
post_2023,accel_phase,0.0407
post_2023,top_speed_phase,0.1056
post_2023,total_90,0.4378
post_2023,accel_gap,0.2916
post_2023,bolts,0.1445
post_2023,dist_to_top_speed_ft,0.0035
post_2023,accel_topspeed_gap,0.2412
post_2023,primary_lead,0.3067
post_2023,secondary_lead,0.3941
post_2023,lead_gain,0.1364
post_2023,avg_pop_faced,0.29
post_2023,avg_pickoff_rate_faced,0.1727
post_2023,weak_arm_share,0.0234
post_2023,two_strike_share,0.0008
post_2023,avg_pre_release_velocity,0.1561
post_2023,avg_post_release_distance,0.1913
post_2023,n_attempts,0.0493
