season,rank,runner_id,player_name,sprint_speed,jump_time,primary_lead,lead_gain,avg_pre_release_velocity,avg_post_release_distance,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,avg_post_release_distance
2015,1,592261,Delino DeShields,30.5,1.68,,,,58.582875,1.95,25,8,0.7602333580657128,-0.07157013667091827,58.582875
2015,2,571740,Billy Hamilton,29.7,1.6549999999999998,,,,57.7702125,1.95,57,8,0.8698409658071012,0.06884426649772768,57.7702125
2015,3,502481,Jarrod Dyson,29.5,1.63,,,,57.525,1.95,26,3,0.8790843413675614,0.08457252169322504,57.525
2015,4,545361,Mike Trout,29.6,1.68,11.370782123,2.511715084,1.932088526153846,56.8542,1.95,11,7,0.6473420698476995,-0.15035134868306677,56.8542
2015,5,488721,Peter Bourjos,29.6,1.7,,,,56.277,1.95,5,8,0.49382597813872714,-0.3038674403920391,56.277
2015,6,605486,Cory Spangenberg,28.8,1.65,,,,56.16,1.95,9,4,0.7160482003609494,-0.0595995211393503,56.16
2015,7,514917,César Hernández,29.8,1.72,,,,56.07615,1.95,19,5,0.7892712967757616,-0.0151503652343985,56.07615
2015,8,516782,Starling Marte,29.6,1.71,12.167531646,2.556632911,1.9666407007692306,55.9884,1.95,30,10,0.7530859468110463,-0.044607471719719904,55.9884
2015,9,543829,Dee Strange-Gordon,29.1,1.68,,,,55.89382500000001,1.95,58,20,0.7456490073071939,-0.03735323616319908,55.89382500000001
2015,10,595281,Kevin Kiermaier,29.6,1.72,,,,55.699799999999996,1.95,18,5,0.7817452716606103,-0.015948146870156,55.699799999999996
2015,11,545350,Jake Marisnick,29.4,1.71,,,,55.610099999999996,1.95,24,9,0.7339175685920286,-0.05753433414805531,55.610099999999996
2015,12,519184,Ben Revere,28.4,1.64,,,,55.379999999999995,1.95,31,7,0.8113690141045834,0.04382377498725287,55.379999999999995
2015,13,542993,Billy Burns,29.1,1.7,,,,55.326375000000006,1.95,26,8,0.7663812206794125,-0.016621022790980433,55.326375000000006
2015,14,592885,Christian Yelich,28.8,1.69,12.506061728,2.67582716,2.0583285846153845,55.03679999999999,1.95,16,5,0.7649564464037341,-0.010691275096565644,55.03679999999999
2015,15,594809,Adam Eaton,28.9,1.71,,,,54.66435,1.95,18,8,0.7060925034353899,-0.07188504346609681,54.66435
2016,1,621439,Byron Buxton,30.7,1.67,13.112712821,2.669117949,2.053167653076923,59.266349999999996,1.95,10,2,0.8169922121468876,-0.023729800668334633,59.266349999999996
2016,2,571740,Billy Hamilton,30.2,1.68,,,,58.00665,1.95,58,8,0.8716741916408041,0.05233585960572629,58.00665
2016,3,609275,Adalberto Mondesi,30.2,1.68,,,,58.00665,1.95,9,1,0.8592578404331392,0.039919508398061465,58.00665
2016,4,608671,Travis Jankowski,29.5,1.66,,,,57.237375,1.95,30,12,0.7210397363084486,-0.07347208336588773,57.237375
2016,5,543829,Dee Strange-Gordon,29.6,1.68,,,,56.8542,1.95,30,7,0.8068778001546926,0.009184381623926319,56.8542
2016,6,542993,Billy Burns,29.3,1.68,,,,56.277975,1.95,17,5,0.7736617632035958,-0.014851904524413095,56.277975
2016,7,592261,Delino DeShields,29.7,1.71,,,,56.17755,1.95,8,3,0.743054225406068,-0.057942473903305536,56.17755
2016,8,502481,Jarrod Dyson,28.8,1.65,,,,56.16,1.95,30,7,0.8068778001546926,0.031230078654392868,56.16
2016,9,607208,Trea Turner,30.0,1.73,11.411938596,3.574809942,2.7498538015384613,56.16,1.95,33,6,0.8383833546931156,0.02674672151485291,56.16
2016,10,605480,Mallex Smith,29.5,1.7,,,,56.086875,1.95,16,8,0.6858230209136926,-0.10868879876064375,56.086875
2016,11,542979,Keon Broxton,29.7,1.72,,,,55.887975,1.95,23,4,0.840277112703034,0.039280413393660396,55.887975
2016,12,514917,César Hernández,29.5,1.72,,,,55.511624999999995,1.95,17,13,0.5968247887570596,-0.1976870309172768,55.511624999999995
2016,13,596115,Trevor Story,29.6,1.73,12.970051546,4.217072165,3.2439016653846156,55.411199999999994,1.95,8,5,0.6604926448053938,-0.13720077372537243,55.411199999999994
