rank_xsb,player_name,season,era,sprint_speed,SB,CS,net_sb,z_net_sb,z_sprint,xsb_outcome,sb_potential_gap,quadrant,runner_id
1,Billy Hamilton,2015,pre_2023,29.7,57,8,49,4.886766965336731,1.6869369962370462,6.573703961573777,-3.199829969099685,Realized Burner,571740
2,Billy Hamilton,2016,pre_2023,30.2,58,8,50,4.37577458324251,2.1441638666151714,6.519938449857682,-2.2316107166273387,Realized Burner,571740
3,Billy Hamilton,2017,pre_2023,30.1,59,13,46,4.366980060439174,1.8150131186079315,6.181993179047106,-2.551966941831243,Realized Burner,571740
4,Elly De La Cruz,2024,post_2023,30.0,67,16,51,4.08054544609496,1.73744983100871,5.81799527710367,-2.34309561508625,Realized Burner,682829
5,Esteury Ruiz,2023,post_2023,29.6,67,13,54,4.125796558423924,1.3029755201243698,5.428772078548294,-2.8228210382995544,Realized Burner,665923
6,Corbin Carroll,2023,post_2023,30.1,54,5,49,3.6059240698289527,1.814729136663468,5.420653206492421,-1.7911949331654848,Realized Burner,682998
7,Trea Turner,2017,pre_2023,30.3,46,8,38,3.377990625023963,1.9925687497760984,5.370559374800061,-1.3854218752478644,Realized Burner,607208
8,Dee Strange-Gordon,2017,pre_2023,29.4,60,16,44,4.119732701585371,1.1935684095193426,5.313301111104714,-2.9261642920660282,Realized Burner,543829
9,Trea Turner,2018,pre_2023,30.1,43,9,34,3.3057156133484553,1.92762141728572,5.233337030634175,-1.3780941960627353,Realized Burner,607208
10,Jon Berti,2022,pre_2023,29.5,41,5,36,3.9400426001996873,1.143739677883307,5.083782278082994,-2.7963029223163804,Realized Burner,542932
11,Adalberto Mondesi,2019,pre_2023,29.9,43,7,36,3.3404313091365694,1.6300637070150477,4.970495016151617,-1.7103676021215217,Realized Burner,609275
12,Starling Marte,2021,pre_2023,28.5,47,5,42,4.587739825483446,0.3693796232925249,4.957119448775971,-4.2183602021909214,Realized Burner,516782
13,Trea Turner,2021,pre_2023,30.6,32,5,27,2.433237086609478,2.4983312021062347,4.931568288715713,0.06509411549675681,Realized Burner,607208
14,Dee Strange-Gordon,2015,pre_2023,29.1,58,20,38,3.5042061641961784,1.1055772655750897,4.609783429771268,-2.3986288986210886,Realized Burner,543829
15,Trea Turner,2019,pre_2023,30.3,35,5,30,2.5578234272615434,2.0406590992102767,4.59848252647182,-0.5171643280512668,Realized Burner,607208
16,Mallex Smith,2019,pre_2023,29.4,46,9,37,3.4708659561157407,1.116819466771014,4.5876854228867545,-2.354046489344727,Realized Burner,605480
17,Shohei Ohtani,2024,post_2023,28.1,59,4,55,4.509934410971928,-0.036404829172875366,4.473529581799053,-4.546339240144803,Crafty Technician,660271
18,Brice Turang,2024,post_2023,29.3,50,6,44,3.3291147575602658,1.0839244298891788,4.413039187449445,-2.2451903276710867,Realized Burner,668930
19,Nasim Nuñez,2026,post_2023,29.6,22,2,20,3.200921997502727,1.1362862768578568,4.337208274360584,-2.0646357206448704,Realized Burner,683083
