catcher_id,season,catcher_name,pop_2b_sba,pop_3b_sba,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count
592663,2023,"Realmuto, J.T.",1.83,1.4,86.6,0.59,50.0
682848,2023,"Rodríguez, Endy",1.9,,84.6,0.64,19.0
650907,2023,"Pinto, René",1.87,1.49,85.7,0.61,11.0
669221,2023,"Murphy, Sean",1.9,1.52,86.5,0.67,53.0
672275,2023,"Bailey, Patrick",1.87,1.48,84.4,0.6,51.0
596142,2023,"Sánchez, Gary",1.9,1.47,85.5,0.65,24.0
686676,2023,"Lee, Korey",1.91,1.38,86.7,0.67,17.0
596117,2023,"Stubbs, Garrett",1.87,1.52,85.8,0.61,18.0
642851,2023,"Wynns, Austin",1.91,1.46,78.5,0.56,23.0
682515,2023,"Porter, Logan",1.98,,78.9,0.58,8.0
657136,2023,"Wong, Connor",1.92,1.51,85.0,0.66,60.0
542194,2023,"Bethancourt, Christian",1.87,1.47,88.0,0.67,39.0
666023,2023,"Fermin, Freddy",1.93,1.53,84.6,0.69,27.0
506702,2023,"León, Sandy",1.96,1.45,78.4,0.63,11.0
543592,2023,"Nola, Austin",1.97,1.57,80.9,0.64,28.0
571912,2023,"Maile, Luke",1.93,1.54,83.5,0.66,36.0
669127,2023,"Langeliers, Shea",1.9,1.48,87.1,0.66,68.0
681807,2023,"Fry, David",1.92,1.48,84.6,0.63,8.0
455117,2023,"Maldonado, Martín",1.93,1.51,85.1,0.66,55.0
595978,2023,"Hedges, Austin",1.95,,80.4,0.67,24.0
672515,2023,"Moreno, Gabriel",1.9,1.47,82.0,0.6,33.0
668939,2023,"Rutschman, Adley",1.91,1.46,85.3,0.65,51.0
542208,2023,"Pérez, Carlos",1.98,1.39,79.8,0.62,13.0
553869,2023,"Díaz, Elias",1.93,1.5,83.4,0.66,51.0
682626,2023,"Alvarez, Francisco",1.94,1.55,84.8,0.65,57.0
673237,2023,"Diaz, Yainer",1.9,1.51,88.5,0.69,35.0
686452,2023,"Millas, Drew",1.94,,86.6,0.72,5.0
623168,2023,"Heineman, Tyler",1.97,,79.3,0.6,10.0
645444,2023,"Herrera, Jose",1.92,,81.4,0.63,12.0
606992,2023,"Haase, Eric",1.99,1.55,83.1,0.71,15.0
663698,2023,"Bart, Joey",2.02,,84.9,0.74,11.0
656180,2023,"Adams, Riley",1.93,,84.7,0.65,20.0
543877,2023,"Vázquez, Christian",1.95,1.45,80.6,0.62,35.0
543309,2023,"Higashioka, Kyle",1.98,1.54,78.6,0.63,43.0
663728,2023,"Raleigh, Cal",1.96,1.47,84.8,0.68,66.0
575929,2023,"Contreras, Willson",1.93,1.47,86.2,0.67,34.0
641511,2023,"Delay, Jason",1.99,1.53,78.6,0.63,27.0
669224,2023,"Wells, Austin",1.91,,82.4,0.6,8.0
661388,2023,"Contreras, William",1.95,1.6,81.9,0.65,47.0
664874,2023,"Zavala, Seby",2.0,1.5,81.9,0.67,28.0
666310,2023,"Naylor, Bo",1.94,1.4,84.0,0.66,44.0
608348,2023,"Kelly, Carson",1.96,1.47,80.3,0.64,23.0
642136,2023,"Thaiss, Matt",1.98,,83.6,0.71,15.0
607732,2023,"Stallings, Jacob",1.97,1.62,82.2,0.66,41.0
643376,2023,"Jansen, Danny",1.99,1.52,80.8,0.7,30.0
663886,2023,"Stephenson, Tyler",2.01,1.58,82.1,0.69,36.0
595956,2023,"Gallagher, Cam",1.97,1.52,79.3,0.63,30.0
521692,2023,"Perez, Salvador",1.98,1.51,80.0,0.63,26.0
642336,2023,"Mejía, Francisco",1.95,1.5,87.9,0.73,24.0
518595,2023,"d'Arnaud, Travis",1.97,1.5,82.7,0.67,39.0
641680,2023,"Heim, Jonah",1.97,1.59,84.0,0.69,57.0
669257,2023,"Smith, Will",1.91,1.51,82.8,0.61,56.0
624512,2023,"McGuire, Reese",1.98,1.52,79.1,0.65,21.0
680777,2023,"Jeffers, Ryan",1.95,1.43,84.3,0.67,27.0
672386,2023,"Kirk, Alejandro",1.98,1.49,79.4,0.63,48.0
543228,2023,"Gomes, Yan",1.99,1.55,77.6,0.6,45.0
592200,2023,"Casali, Curt",1.99,1.53,78.7,0.56,13.0
668670,2023,"Rogers, Jake",1.95,1.52,79.4,0.6,30.0
656024,2023,"Pérez, Carlos",1.99,1.46,77.7,0.59,12.0
668800,2023,"Knizner, Andrew",2.01,1.54,79.6,0.67,33.0
543510,2023,"McCann, James",2.01,1.45,83.0,0.67,25.0
664954,2023,"Sullivan, Brett",2.07,1.57,81.5,0.74,11.0
665804,2023,"Amaya, Miguel",1.98,1.52,80.4,0.64,17.0
663743,2023,"Fortes, Nick",2.01,1.52,80.3,0.69,44.0
691016,2023,"Soderstrom, Tyler",1.97,1.47,84.6,0.68,8.0
608596,2023,"Murphy, Tom",2.05,,82.6,0.72,11.0
666165,2023,"Sabol, Blake",2.0,1.54,83.5,0.75,21.0
572287,2023,"Zunino, Mike",2.04,1.54,76.6,0.63,33.0
553882,2023,"Narváez, Omar",2.0,1.53,77.7,0.62,25.0
595453,2023,"Wallach, Chad",1.99,1.56,82.0,0.67,18.0
641598,2023,"Garver, Mitch",2.0,,81.4,0.72,11.0
666163,2023,"Rortvedt, Ben",1.95,,87.8,0.73,8.0
605131,2023,"Barnes, Austin",2.01,1.46,75.4,0.59,29.0
624431,2023,"Trevino, Jose",1.99,1.53,76.8,0.64,18.0
571466,2023,"Barnhart, Tucker",1.99,1.58,78.5,0.63,21.0
660688,2023,"Ruiz, Keibert",2.06,1.56,77.8,0.68,64.0
605170,2023,"Caratini, Victor",2.06,1.59,78.5,0.71,31.0
621512,2023,"Nido, Tomás",1.99,,77.2,0.57,6.0
518735,2023,"Grandal, Yasmani",2.08,1.64,77.8,0.68,69.0
681351,2023,"O'Hoppe, Logan",2.09,1.63,81.9,0.73,20.0
669134,2023,"Campusano, Luis",1.97,1.46,83.5,0.65,10.0
672275,2024,"Bailey, Patrick",1.85,1.4,84.6,0.6,58.0
606992,2024,"Haase, Eric",1.94,,82.9,0.65,12.0
592663,2024,"Realmuto, J.T.",1.85,1.42,85.1,0.65,39.0
686676,2024,"Lee, Korey",1.85,1.49,88.3,0.64,46.0
666023,2024,"Fermin, Freddy",1.88,1.54,84.3,0.64,23.0
656577,2024,"Jackson, Alex",1.96,1.39,85.0,0.66,26.0
680779,2024,"Davis, Henry",1.87,1.44,86.7,0.65,10.0
666163,2024,"Rortvedt, Ben",1.92,1.57,86.4,0.69,47.0
686482,2024,"Driscoll, Logan",1.87,1.5,85.3,0.65,6.0
682626,2024,"Alvarez, Francisco",1.92,1.51,84.2,0.63,37.0
620443,2024,"Torrens, Luis",1.87,1.37,85.2,0.61,19.0
596117,2024,"Stubbs, Garrett",1.88,1.52,85.4,0.64,22.0
680777,2024,"Jeffers, Ryan",1.93,1.48,84.2,0.65,40.0
663743,2024,"Fortes, Nick",1.93,1.51,82.3,0.62,60.0
553869,2024,"Díaz, Elias",1.9,1.52,84.1,0.65,33.0
656180,2024,"Adams, Riley",1.97,,85.6,0.68,17.0
644433,2024,"Tromp, Chadwick",1.92,1.51,80.7,0.59,9.0
665561,2024,"Marchán, Rafael",1.87,1.51,85.9,0.65,6.0
542194,2024,"Bethancourt, Christian",1.9,1.48,88.2,0.69,29.0
621512,2024,"Nido, Tomás",1.93,1.57,78.5,0.57,27.0
669127,2024,"Langeliers, Shea",1.91,1.45,86.4,0.65,70.0
672515,2024,"Moreno, Gabriel",1.89,1.48,83.5,0.62,26.0
693307,2024,"Dingler, Dillon",1.94,1.6,87.5,0.69,8.0
668670,2024,"Rogers, Jake",1.93,1.42,80.3,0.59,30.0
686780,2024,"Pagés, Pedro",1.93,1.42,85.0,0.66,39.0
673237,2024,"Diaz, Yainer",1.97,1.49,86.9,0.73,73.0
596142,2024,"Sánchez, Gary",1.96,1.49,86.9,0.65,20.0
669257,2024,"Smith, Will",1.94,1.49,82.7,0.62,57.0
657136,2024,"Wong, Connor",1.95,1.55,84.8,0.65,46.0
686452,2024,"Millas, Drew",1.94,1.54,85.6,0.72,12.0
645305,2024,"Sánchez, Ali",1.96,1.42,81.4,0.63,18.0
640902,2024,"Pereda, Jhonny",1.92,,84.3,0.68,5.0
455117,2024,"Maldonado, Martín",1.97,1.53,85.0,0.68,17.0
663698,2024,"Bart, Joey",2.0,1.51,84.4,0.69,35.0
607732,2024,"Stallings, Jacob",1.96,1.53,81.1,0.69,44.0
661388,2024,"Contreras, William",1.96,1.54,82.4,0.64,58.0
575929,2024,"Contreras, Willson",1.97,1.74,86.3,0.71,29.0
518595,2024,"d'Arnaud, Travis",1.98,1.65,82.3,0.67,37.0
661531,2024,"Serven, Brian",1.98,1.52,81.8,0.67,7.0
543877,2024,"Vázquez, Christian",1.96,1.47,79.5,0.6,32.0
595978,2024,"Hedges, Austin",1.94,1.46,82.0,0.63,19.0
663728,2024,"Raleigh, Cal",1.95,1.47,84.4,0.66,70.0
642136,2024,"Thaiss, Matt",2.01,1.5,84.5,0.72,15.0
592200,2024,"Casali, Curt",2.0,1.54,77.5,0.6,31.0
664874,2024,"Zavala, Seby",1.97,1.46,82.3,0.62,10.0
608348,2024,"Kelly, Carson",1.97,1.47,81.6,0.65,51.0
681351,2024,"O'Hoppe, Logan",2.02,1.58,83.7,0.72,59.0
