runner_id,season,team
647304,2025,SEA
647304,2026,SEA
518692,2024,LAD
543877,2021,BOS
665742,2025,NYM
656941,2025,PHI
500743,2024,LAD
663656,2024,HOU
592518,2024,SD
676475,2024,STL
641857,2022,COL
592518,2025,SD
592626,2024,AZ
647304,2023,CLE
670770,2024,CIN
656941,2022,PHI
641857,2023,COL
518692,2023,LAD
624428,2023,BAL
605141,2024,LAD
694384,2024,LAA
572233,2023,AZ
663728,2025,SEA
502671,2021,STL
502671,2024,STL
592518,2018,LAD
650333,2025,SD
661388,2024,MIL
663656,2025,CHC
592518,2022,SD
500743,2022,MIA
641857,2024,COL
663647,2024,PIT
500743,2023,LAD
670770,2025,CIN
671056,2025,STL
650333,2024,MIA
663656,2023,HOU
500743,2019,MIA
592518,2021,SD
661388,2025,MIL
500743,2021,MIA
663656,2022,HOU
592518,2017,BAL
624428,2025,PIT
592450,2024,NYY
671277,2025,WSH
502671,2023,STL
518692,2018,ATL
605141,2025,LAD
668904,2025,MIN
518692,2022,LAD
624428,2022,SEA
701398,2026,CIN
682663,2025,MIA
650859,2024,LAA
650402,2023,NYY
671732,2025,ATH
547180,2025,PHI
668227,2026,SEA
518692,2021,ATL
518692,2017,ATL
605141,2023,LAD
660821,2025,MIA
681297,2025,BAL
680700,2026,TB
516782,2024,NYM
514888,2023,HOU
641343,2024,MIL
608070,2026,CLE
672695,2026,AZ
608070,2020,CLE
665742,2023,SD
660821,2024,MIA
624428,2021,SD
672695,2024,AZ
677587,2024,CLE
608070,2018,CLE
665742,2024,NYY
516782,2023,NYM
665489,2022,TOR
605141,2022,LAD
596019,2016,CLE
545121,2024,WSH
666969,2024,TEX
666969,2025,TEX
677587,2025,CLE
680757,2024,CLE
650859,2025,LAA
502671,2017,AZ
605141,2021,LAD
671732,2024,ATH
643217,2019,BOS
666969,2023,TEX
680757,2025,CLE
671277,2024,WSH
643217,2023,CWS
621493,2024,LAA
592206,2023,PHI
672695,2023,AZ
805367,2025,CWS
660670,2026,ATL
607043,2025,NYM
650402,2022,NYY
672695,2025,AZ
645277,2025,ATL
656775,2026,TB
650402,2021,NYY
514888,2024,HOU
665862,2025,NYY
665742,2019,WSH
663656,2021,HOU
672695,2022,AZ
596019,2025,NYM
592450,2025,NYY
624428,2019,PIT
643396,2025,TOR
547180,2018,WSH
641584,2021,SEA
642715,2024,MIL
691016,2025,ATH
663647,2025,PIT
593428,2024,SD
592450,2022,NYY
669701,2025,TEX
547180,2016,WSH
671277,2023,WSH
643446,2023,NYM
665742,2021,WSH
680700,2024,TB
596019,2019,CLE
605141,2017,BOS
514888,2025,HOU
593428,2023,SD
502671,2018,AZ
593428,2025,SD
547180,2023,PHI
605141,2016,BOS
624428,2017,PIT
669701,2024,TEX
677587,2026,CLE
650859,2023,LAA
645277,2023,ATL
596019,2024,NYM
670764,2023,TB
547180,2024,PHI
660670,2024,ATL
502671,2016,AZ
666139,2024,TB
605141,2019,BOS
695578,2026,WSH
672580,2024,KC
663647,2023,PIT
665923,2023,ATH
680977,2024,STL
665862,2023,MIA
608070,2023,CLE
547180,2022,PHI
596115,2022,BOS
668227,2025,SEA
664728,2024,KC
680474,2024,ATH
643217,2018,BOS
670764,2024,TB
656716,2024,DET
608070,2019,CLE
596115,2025,BOS
666971,2025,AZ
683002,2025,BAL
666139,2023,TB
663757,2023,SD
668804,2023,PIT
542303,2019,STL
502671,2015,AZ
592518,2015,BAL
605141,2018,BOS
547180,2021,PHI
677800,2024,BOS
669004,2023,KC
608070,2021,CLE
681546,2023,LAD
660271,2024,LAD
660162,2019,CWS
680869,2024,ATH
605141,2020,LAD
646240,2021,BOS
641584,2023,CIN
701538,2026,SD
608070,2017,CLE
665862,2026,NYY
608070,2024,CLE
671218,2025,SF
669364,2024,MIA
676609,2023,SEA
643217,2022,NYY
683002,2024,BAL
608070,2025,CLE
663647,2021,PIT
643396,2024,TOR
621020,2024,CHC
660670,2025,ATL
656775,2023,BAL
608070,2016,CLE
665862,2024,NYY
596019,2022,NYM
686555,2025,MIL
680776,2026,BOS
682657,2025,CLE
682657,2026,CLE
669016,2024,PHI
643396,2023,NYY
681082,2026,PHI
666139,2025,TB
808975,2025,LAD
641584,2024,CIN
547180,2020,PHI
553993,2016,CIN
592885,2023,MIL
681082,2023,PHI
664023,2023,CHC
592885,2024,MIL
593428,2018,BOS
592885,2019,MIL
593428,2017,BOS
681082,2024,PHI
665926,2021,CLE
666152,2024,BOS
663368,2024,MIL
665833,2024,PIT
664023,2021,CHC
656775,2024,BAL
682668,2025,NYM
660670,2023,ATL
660271,2023,LAA
682928,2025,WSH
543760,2017,ATH
666182,2021,TOR
608324,2017,HOU
683002,2023,BAL
804606,2026,PIT
669397,2025,ATL
664059,2022,SEA
592663,2022,PHI
683083,2026,WSH
656775,2025,NYM
680869,2023,ATH
665926,2025,TOR
682928,2023,WSH
669016,2023,PHI
680757,2023,CLE
669364,2026,MIA
677950,2023,AZ
607043,2024,NYM
592663,2019,PHI
672761,2025,DET
666182,2022,TOR
621439,2025,MIN
676609,2025,NYY
605141,2015,BOS
621439,2017,MIN
592885,2017,MIA
543760,2021,TOR
669364,2025,MIA
666181,2023,CIN
680776,2023,BOS
595879,2023,DET
691718,2024,CHC
682829,2025,CIN
656716,2025,DET
596115,2020,COL
596019,2023,NYM
670770,2023,CIN
670764,2022,TB
643396,2022,NYY
657656,2023,ATH
547180,2019,PHI
592885,2022,MIL
701538,2024,SD
622761,2025,BAL
666969,2022,TEX
664983,2022,AZ
596115,2018,COL
681082,2025,PHI
671739,2022,ATL
593428,2022,BOS
664059,2023,SEA
683083,2025,WSH
665862,2021,MIA
608070,2015,CLE
664023,2018,CHC
664983,2023,AZ
543760,2025,TEX
667670,2024,ATH
646240,2019,BOS
677951,2026,KC
663697,2023,CIN
664023,2024,CHC
643396,2021,TEX
665161,2025,HOU
596019,2017,CLE
621020,2023,CHC
672640,2024,MIA
656775,2021,BAL
642715,2022,MIL
606466,2023,AZ
514888,2022,HOU
694497,2025,TEX
672580,2023,KC
642708,2021,CLE
665926,2024,CLE
516782,2021,MIA
642201,2022,TEX
682829,2024,CIN
677951,2022,KC
805300,2026,MIA
668930,2024,MIL
665833,2025,PIT
596115,2021,COL
677951,2025,KC
596019,2015,CLE
543807,2023,TOR
687363,2025,STL
671739,2023,ATL
656775,2022,BAL
596019,2021,NYM
592663,2017,MIA
691718,2025,CHC
607208,2023,PHI
680574,2025,CIN
592885,2018,MIL
665161,2022,HOU
672580,2025,KC
608070,2022,CLE
682829,2023,CIN
670764,2025,TB
665862,2022,MIA
665926,2022,CLE
621438,2024,NYM
678662,2023,COL
621439,2021,MIN
596115,2019,COL
596115,2023,BOS
665833,2026,PIT
668804,2024,PIT
657656,2021,ATH
543807,2025,TOR
673357,2022,CWS
642201,2025,ATL
805300,2025,MIA
593428,2015,BOS
682177,2025,CLE
677594,2025,SEA
666152,2025,BOS
660271,2025,LAD
670042,2023,TB
547180,2015,WSH
592626,2015,LAD
686668,2025,COL
664983,2024,AZ
686217,2024,MIL
543760,2016,ATH
665487,2021,SD
543807,2024,TOR
676609,2024,TB
622761,2024,BAL
596103,2022,SF
660670,2019,ATL
670042,2024,SEA
676694,2025,HOU
663647,2022,PIT
702332,2025,MIL
656305,2024,SF
545361,2018,LAA
678009,2024,DET
664983,2026,COL
543807,2018,HOU
683083,2024,WSH
663757,2020,SD
621020,2025,CHC
668930,2023,MIL
666152,2026,MIL
622761,2023,BAL
543807,2022,TOR
680757,2022,CLE
543760,2023,TEX
680776,2024,BOS
665926,2023,CLE
595879,2022,DET
621438,2025,NYM
680776,2025,BOS
701807,2026,NYM
669016,2022,PHI
665487,2023,SD
671739,2025,ATL
677594,2024,SEA
593428,2016,BOS
662139,2024,TOR
691718,2026,CHC
678882,2025,BOS
657656,2022,ATH
694374,2025,AZ
660271,2019,LAA
665750,2021,TEX
656716,2023,DET
681297,2024,BAL
676694,2024,HOU
686668,2024,COL
645277,2021,ATL
650489,2023,MIN
696285,2023,WSH
641355,2018,LAD
592663,2025,PHI
686668,2026,COL
668930,2026,MIL
664728,2022,KC
660670,2022,ATL
592663,2016,MIA
606466,2019,AZ
686668,2023,COL
592663,2021,PHI
606192,2024,LAD
802415,2025,TB
595879,2016,CHC
677951,2023,KC
691023,2025,STL
664059,2025,TEX
657656,2024,ATL
681082,2022,PHI
607208,2022,LAD
592663,2023,PHI
665750,2024,TEX
673357,2023,CWS
663538,2022,CHC
668885,2026,MIN
663968,2025,TB
677594,2022,SEA
607208,2019,WSH
672640,2026,MIA
643217,2017,BOS
682998,2023,AZ
687263,2026,LAA
665487,2024,SD
676609,2026,NYY
677594,2023,SEA
663538,2023,CHC
592885,2021,MIL
592885,2025,MIL
660670,2018,ATL
621439,2019,MIN
645277,2018,ATL
665487,2025,SD
803011,2026,CWS
664702,2022,CLE
593871,2021,MIN
608324,2018,HOU
516782,2017,PIT
641355,2025,NYY
657656,2019,ATH
668715,2024,CIN
622761,2022,BAL
686217,2025,MIL
621439,2016,MIN
662139,2023,TOR
672640,2025,MIA
666181,2024,CIN
516782,2020,MIA
643446,2019,NYM
665487,2020,SD
621020,2021,ATL
643217,2021,KC
663604,2025,MIL
607208,2017,WSH
514888,2017,HOU
606192,2021,TOR
687263,2024,LAA
592885,2015,MIA
665750,2025,TEX
677649,2025,TEX
665161,2024,HOU
669707,2025,PIT
682829,2026,CIN
595879,2017,CHC
660670,2021,ATL
607208,2016,WSH
596103,2021,SF
664056,2023,NYY
663697,2024,CIN
695578,2025,WSH
691026,2024,STL
673357,2020,CWS
543760,2022,TEX
677951,2024,KC
543807,2015,HOU
687401,2025,MIL
662139,2022,AZ
514888,2018,HOU
807712,2026,MIN
543760,2024,TEX
595879,2021,NYM
807712,2025,MIN
641355,2022,LAD
677950,2025,AZ
687263,2025,LAA
694671,2024,TEX
593871,2017,MIN
666969,2021,TEX
545361,2019,LAA
668227,2024,TB
516782,2019,PIT
545361,2017,LAA
607208,2021,WSH
642715,2025,SF
691023,2023,STL
676356,2024,TB
680574,2023,CIN
516782,2016,PIT
645277,2019,ATL
621020,2022,ATL
660162,2018,CWS
668804,2022,PIT
607208,2026,PHI
691026,2025,STL
668930,2025,MIL
683953,2026,CLE
607208,2018,WSH
668227,2022,TB
668227,2023,TB
643396,2020,TEX
663538,2026,CHC
664056,2022,NYY
808982,2025,SF
545361,2016,LAA
641355,2024,CHC
592663,2015,MIA
664023,2022,CHC
678662,2024,COL
694671,2025,TEX
622761,2021,SD
665750,2023,TEX
691023,2026,STL
642708,2023,LAD
668885,2025,MIN
663538,2024,CHC
643396,2018,TEX
682928,2024,WSH
621020,2018,ATL
673357,2024,CWS
673357,2025,CWS
621043,2016,HOU
543760,2018,ATH
682998,2025,AZ
676391,2024,TOR
668227,2021,TB
668715,2023,CIN
543760,2015,ATH
596019,2018,CLE
672761,2024,DET
592885,2016,MIA
667472,2025,MIA
665487,2019,SD
666160,2025,COL
657041,2023,WSH
660271,2021,LAA
596115,2016,COL
663538,2025,CHC
668885,2024,MIN
671289,2025,COL
666971,2019,TOR
657656,2025,SD
663757,2021,SD
641343,2018,TB
642708,2022,CLE
660271,2018,LAA
682998,2024,AZ
664702,2025,TOR
657136,2023,BOS
671739,2024,ATL
682928,2026,WSH
641933,2021,STL
641355,2023,CHC
694192,2025,MIL
665833,2022,PIT
671289,2024,CLE
694192,2024,MIL
664702,2021,HOU
687597,2025,COL
607208,2024,PHI
595879,2018,CHC
607208,2020,WSH
664056,2018,STL
656305,2025,SF
641933,2022,STL
514888,2016,HOU
516782,2015,PIT
663697,2021,CIN
607208,2025,PHI
682622,2024,CIN
457705,2023,PIT
621020,2019,ATL
621043,2015,HOU
514888,2015,HOU
687363,2026,STL
678882,2024,BOS
650489,2025,MIN
802415,2026,TB
807713,2025,CHC
650489,2022,DET
664056,2019,STL
641355,2017,LAD
516782,2018,PIT
681393,2025,MIA
516782,2022,NYM
682622,2025,CIN
641355,2019,LAD
592450,2017,NYY
595879,2019,CHC
650489,2024,MIN
669003,2024,MIL
682928,2022,SD
650489,2021,DET
664023,2017,CHC
457705,2015,PIT
665487,2026,SD
642708,2017,NYM
656537,2026,CWS
642715,2018,TB
666160,2024,LAA
677649,2023,TEX
663837,2022,PHI
665750,2022,TEX
673548,2024,CHC
664056,2024,NYM
543760,2019,ATH
696285,2024,WSH
664702,2023,CLE
657041,2022,WSH
665161,2023,HOU
687401,2024,MIL
606466,2015,SEA
457705,2017,PIT
657041,2024,WSH
660271,2022,LAA
606192,2018,TOR
642708,2018,NYM
642708,2019,NYM
669743,2023,WSH
664056,2021,STL
642708,2024,TB
606466,2016,SEA
695734,2025,WSH
681624,2025,LAD
593871,2018,MIN
673548,2022,CHC
695578,2024,WSH
607043,2018,NYM
457705,2018,NYY
669003,2026,MIL
691594,2025,MIA
666176,2024,LAA
686894,2023,MIL
545361,2015,LAA
664056,2025,PHI
676391,2025,TOR
543807,2017,HOU
514888,2019,HOU
663837,2023,DET
543807,2016,HOU
457705,2022,MIL
677942,2025,AZ
657136,2024,BOS
