section,feature,feature_raw,league_avg,one_tier_step,sb_pct_boost_per_tier,odds_multiplier,tech_coefficient,higher_is_better,epoch,n,auc,model,vs_baseline,param,value
glm_weights,Post-Release Distance,avg_post_release_distance,52.205,2.916,24.76,3.994,1.3847,True,,,,,,,
glm_weights,Jump Time,jump_time,1.768,0.043,17.32,2.345,0.8524,False,,,,,,,
glm_weights,Avg Catcher Pop Faced,avg_pop_faced,1.962,0.036,-12.13,0.61,-0.4945,True,,,,,,,
glm_weights,Accel Gap,accel_gap,-1.405,18.951,9.94,1.57,0.4513,True,,,,,,,
glm_weights,Sprint Speed (capped at 28),speed_capped,27.709,0.553,-6.61,0.761,-0.2727,True,,,,,,,
glm_weights,Avg Pitcher Pickoff Rate Faced,avg_pickoff_rate_faced,0.011,0.01,4.46,1.214,0.1941,False,,,,,,,
glm_weights,Two-Strike Count Share,two_strike_share,0.862,0.208,4.16,1.198,0.1807,False,,,,,,,
glm_weights,Primary Lead,primary_lead,11.81,0.826,-4.02,0.846,-0.1675,True,,,,,,,
glm_weights,Share vs Weak-Arm Catchers,weak_arm_share,0.265,0.315,2.51,1.114,0.108,True,,,,,,,
glm_weights,Lead Gain (jerk),lead_gain,3.73,0.791,2.08,1.093,0.0891,True,,,,,,,
glm_weights,Pre-Release Velocity,avg_pre_release_velocity,2.869,0.609,2.08,1.093,0.0891,True,,,,,,,
glm_weights,Accel→Top-Speed Premium,accel_topspeed_premium,0.453,11.84,1.34,1.059,0.057,True,,,,,,,
glm_weights,Bolts,bolts,14.355,24.845,-0.46,0.981,-0.0195,True,,,,,,,
modelB_auc_by_era,,,,,,,,,full,673.0,0.6244,,,,
modelB_auc_by_era,,,,,,,,,pre_2023,265.0,0.6046,,,,
modelB_auc_by_era,,,,,,,,,post_2023,408.0,0.6647,,,,
benchmark_auc,,,,,,,,,,,0.6159,XGBoost,0.0155,,
benchmark_auc,,,,,,,,,,,0.6016,CatBoost,0.0012,,
benchmark_auc,,,,,,,,,,,0.6004,GBM (sklearn) — baseline,0.0,,
benchmark_auc,,,,,,,,,,,0.5872,Random Forest,-0.0132,,
benchmark_auc,,,,,,,,,,,0.5785,Logistic Regression (L2),-0.0219,,
benchmark_auc,,,,,,,,,,,0.565,GAM (LogisticGAM),-0.0354,,
xgb_tuned_params,,,,,,,,,,,,,,max_depth,6.0
xgb_tuned_params,,,,,,,,,,,,,,min_child_weight,14.674636242693246
xgb_tuned_params,,,,,,,,,,,,,,gamma,0.1739464255333347
xgb_tuned_params,,,,,,,,,,,,,,n_estimators,850.0
xgb_tuned_params,,,,,,,,,,,,,,learning_rate,0.0100985674990296
xgb_tuned_params,,,,,,,,,,,,,,subsample,0.6413982638930786
xgb_tuned_params,,,,,,,,,,,,,,colsample_bytree,0.7767724987694178
xgb_tuned_params,,,,,,,,,,,,,,colsample_bylevel,0.5401916377423236
xgb_tuned_params,,,,,,,,,,,,,,reg_alpha,0.0789240521505475
xgb_tuned_params,,,,,,,,,,,,,,reg_lambda,0.0005662071280688
xgb_tuned_params,,,,,,,,,,,,,,best_auc,0.6287
