split,bin,n,predicted,observed,gap
random,1,1037,0.4386,0.4841,0.0455
random,2,1036,0.6097,0.6293,0.0197
random,3,1037,0.7144,0.7223,0.0079
random,4,1036,0.7902,0.7625,-0.0276
random,5,1037,0.8449,0.8264,-0.0185
random,6,1036,0.8885,0.86,-0.0285
random,7,1037,0.9235,0.9238,0.0004
random,8,1036,0.952,0.9334,-0.0186
random,9,1037,0.9761,0.9711,-0.005
random,10,1037,0.9926,0.9952,0.0026
forward,1,730,0.4141,0.5055,0.0914
forward,2,730,0.6073,0.6123,0.0051
forward,3,730,0.7211,0.6863,-0.0348
forward,4,730,0.7989,0.7575,-0.0413
forward,5,730,0.8531,0.8274,-0.0257
forward,6,730,0.8949,0.8699,-0.025
forward,7,731,0.9285,0.8878,-0.0407
forward,8,729,0.9564,0.9204,-0.036
forward,9,730,0.9789,0.9658,-0.0131
forward,10,731,0.9931,0.9932,0.0001
