epoch,feature,importance
full,sprint_speed,0.0638
full,speed_capped,0.0516
full,jump_time,0.0558
full,total_90,0.0562
full,accel_gap,0.0571
full,bolts,0.061
full,dist_to_top_speed_ft,0.0471
full,accel_topspeed_gap,0.0572
full,primary_lead,0.0559
full,secondary_lead,0.0565
full,lead_gain,0.0576
full,avg_pop_faced,0.0614
full,avg_pickoff_rate_faced,0.0537
full,weak_arm_share,0.0528
full,two_strike_share,0.0411
full,avg_pre_release_velocity,0.0544
full,avg_post_release_distance,0.0638
full,n_attempts,0.0532
pre_2023,sprint_speed,0.0682
pre_2023,speed_capped,0.0579
pre_2023,jump_time,0.0513
pre_2023,total_90,0.0497
pre_2023,accel_gap,0.0495
pre_2023,bolts,0.0618
pre_2023,dist_to_top_speed_ft,0.0474
pre_2023,accel_topspeed_gap,0.0552
pre_2023,primary_lead,0.0454
pre_2023,secondary_lead,0.05
pre_2023,lead_gain,0.0573
pre_2023,avg_pop_faced,0.0561
pre_2023,avg_pickoff_rate_faced,0.0688
pre_2023,weak_arm_share,0.0574
pre_2023,two_strike_share,0.0435
pre_2023,avg_pre_release_velocity,0.0546
pre_2023,avg_post_release_distance,0.0639
pre_2023,n_attempts,0.0621
post_2023,sprint_speed,0.057
post_2023,speed_capped,0.0563
post_2023,jump_time,0.0575
post_2023,total_90,0.0557
post_2023,accel_gap,0.0559
post_2023,bolts,0.0593
post_2023,dist_to_top_speed_ft,0.0454
post_2023,accel_topspeed_gap,0.0571
post_2023,primary_lead,0.0572
post_2023,secondary_lead,0.0563
post_2023,lead_gain,0.0575
post_2023,avg_pop_faced,0.0587
post_2023,avg_pickoff_rate_faced,0.0516
post_2023,weak_arm_share,0.0551
post_2023,two_strike_share,0.0487
post_2023,avg_pre_release_velocity,0.0546
post_2023,avg_post_release_distance,0.0582
post_2023,n_attempts,0.0581
