Rank_v3_fixed,player_name,runner_id,season,sprint_speed,speed_capped,accel_0_30,accel_gap,split_15_60,bolts,SB,CS,real_sb_pct,sb_residual,avg_primary_lead,avg_secondary_lead,avg_lead_gain,avg_lead_off,avg_jump_time,SSSI_v1,SSSI_capped,SSSI_composite,SSSI_v3_fixed,rank_fixed,SSSI_v3_opt,rank_opt,sim_attempts,sim_successes,sim_success_rate
1,"Friedl, TJ",670770,2024,26.5,26.5,1.77,46.153846153846146,1.81,0,9,1,0.8626846903489469,0.07938906027309689,14.645474452554746,21.47255474452555,6.827226277372263,13.767153284671533,0.1873284671532847,1.740127954903137,2.108598262666618,6.722531408773156,1.4766630095945994,1,1.519450833739349,4,30,18,0.6
2,"Yelich, Christian",592885,2023,28.1,28.0,1.73,21.44144144144144,1.75,14,28,3,0.887229732089839,0.09840119814272841,13.989053497942388,22.1940329218107,8.204032921810699,13.363333333333333,0.17815637860082306,1.5222002335110294,0.8574816363587141,5.141192183459676,1.3070225981160035,2,0.9169490356388603,17,74,56,0.7567567567567568
3,"Cowser, Colton",681297,2025,27.4,27.4,1.74,40.71038251366121,1.76,0,14,0,0.9442247555386424,0.1605320519388872,13.140645161290323,19.49758064516129,6.3575,12.207177419354839,0.254,0.4333612118094155,0.12460538358291384,0.9880659177695219,1.2437352917574038,3,0.9061867036362052,18,26,16,0.6153846153846154
4,"Rojas, Josh",668942,2023,26.7,26.7,1.79,29.63963963963964,1.83,0,12,0,0.9376629620726001,0.1548824678589219,13.63936170212766,19.80631205673759,6.166666666666667,12.632624113475178,0.23912765957446808,0.9203796131634768,1.1383552240402954,2.9444223765786353,1.2176656276911897,4,1.2018471181339023,7,21,11,0.5238095238095238
5,"Benintendi, Andrew",643217,2023,27.3,27.3,1.75,37.92792792792793,1.79,0,13,2,0.8470135177617102,0.06370971882698329,14.05317880794702,21.267086092715232,7.2136423841059605,13.163907284768213,0.2057019867549669,1.3437394922426562,1.1102310124594845,4.45341689125182,1.1734571145210302,5,0.9908566376710509,11,40,23,0.575
6,"Giménez, Andrés",665926,2025,28.0,28.0,1.73,26.684881602914388,1.76,1,12,2,0.8389615976439054,0.05112534278486269,14.067379310344828,22.272689655172414,8.205103448275862,13.162413793103449,0.18258620689655172,1.6187404581237508,0.8585005392372589,4.759926832450542,1.1263578650751773,6,0.7356655742826401,27,44,37,0.8409090909090909
7,"Abrams, CJ",682928,2023,28.6,28.0,1.71,15.675675675675677,1.73,13,47,4,0.9096476849148966,0.11456481033521915,13.5,21.594156626506024,8.094397590361446,12.655240963855421,0.2084457831325301,0.9402451958764424,0.7531332073950037,3.3338186196614727,1.1236891382076366,7,0.7041626768822438,31,38,33,0.868421052631579
8,"Turang, Brice",668930,2024,29.3,28.0,1.71,2.626641651031889,1.71,40,50,6,0.884266727134987,0.07680752913147726,13.84079365079365,23.04375661375661,9.203068783068783,13.000582010582011,0.16968783068783067,1.326804111278374,1.8083413749361616,5.800970010937705,1.109152965928638,8,0.7217215739977272,30,70,58,0.8285714285714286
9,"Ohtani, Shohei",660271,2024,28.1,28.0,1.71,25.51594746716698,1.74,2,59,4,0.9255922111063853,0.13676367715927473,13.34648401826484,20.560182648401828,7.21283105022831,12.28041095890411,0.2284474885844749,0.5787967091336105,-0.0859218880187047,1.497088145010355,1.1078574361525033,9,0.6493403848702624,39,68,52,0.7647058823529411
10,"Naylor, Josh",647304,2025,24.4,24.4,1.87,11.020036429872501,1.92,0,30,2,0.9173046041955191,0.10778362997199054,14.885232558139537,20.18947674418605,5.304883720930233,13.964767441860465,0.22211627906976744,2.2971444953573465,4.24580912043079,8.286940486715727,1.0956270874208414,10,2.1002697587422374,1,21,2,0.09523809523809523
11,"Soto, Juan",665742,2025,25.8,25.8,1.85,8.105646630236802,1.86,0,38,4,0.8923461777709405,0.10453238727380976,14.411812865497076,20.68690058479532,6.275204678362573,13.778947368421052,0.2077485380116959,1.8833755336104816,2.7785772804772826,6.913703085152964,1.0761866980543433,11,1.611325449574288,3,30,14,0.4666666666666667
12,"Ramírez, José",608070,2026,27.3,27.3,1.76,26.03305785123967,1.75,0,20,2,0.8866766798234891,0.10337288088876218,13.671171875,20.451328125,6.78046875,12.868671875,0.2256484375,0.9314546239437872,0.6979461441606155,3.15370328685066,1.0554684789315674,12,0.9319654635097856,15,30,17,0.5666666666666667
13,"Rosario, Eddie",592696,2024,27.3,27.3,1.75,36.58536585365853,1.77,0,9,1,0.8626846903489469,0.07938089141422,13.603925233644858,20.334579439252337,6.7316822429906535,12.654112149532711,0.22605607476635514,0.8850207299266134,0.6515122501434417,2.8038121028912535,1.037419327324005,13,0.8456863462741797,19,17,7,0.4117647058823529
14,"Mullins, Cedric",656775,2023,28.0,28.0,1.73,25.045045045045043,1.74,1,19,3,0.849639642786452,0.06180338792740925,13.865180722891566,21.605,7.739939759036144,13.011746987951806,0.20030722891566263,1.1760081788347923,0.41576825994830047,3.681515855705531,1.023297402741434,14,0.6760324827597286,37,38,31,0.8157894736842105
15,"Taylor, Michael A.",572191,2024,28.5,28.0,1.75,0.9380863039399543,1.75,4,12,1,0.8855705752907891,0.09191096152992217,13.694090909090908,22.012727272727272,8.318363636363637,12.877181818181818,0.1887909090909091,1.2489323349854704,0.9662990247698551,4.327058713027462,0.9650576237956009,15,0.6612879518640851,38,23,15,0.6521739130434783
16,"Smith, Josh",669701,2025,27.5,27.5,1.72,44.89981785063752,1.76,5,12,3,0.7970135177617101,0.012845713150778426,13.675621301775147,20.82757396449704,7.151952662721894,12.795917159763315,0.2205502958579882,1.0939819671340207,0.7099787904641867,3.1897569679341444,0.9232687458733622,16,0.6769298048419227,36,44,27,0.6136363636363636
17,"Sánchez, Jesús",660821,2025,27.0,27.0,1.75,44.990892531876135,1.79,0,13,3,0.8066795407254383,0.024025277708904502,13.611931818181818,20.458920454545453,6.847215909090909,12.661988636363638,0.23801136363636363,1.2815470256170973,1.2737805911639206,3.1470834715895153,0.9109800549030488,17,0.8101761185943686,21,37,22,0.5945945945945946
18,"Naylor, Josh",647304,2026,24.5,24.5,1.84,21.625344352617084,1.88,0,12,2,0.8389615976439054,0.03155141279365703,14.78659574468085,20.15950354609929,5.373049645390071,14.020709219858157,0.2223758865248227,2.2665019588853412,4.139919235515452,8.251301985075798,0.898887183678948,18,1.8992554733621798,2,15,6,0.4
19,"Garcia, Maikel",672580,2024,27.9,27.9,1.79,-4.971857410881803,1.76,4,37,2,0.9304606898916865,0.14353051777456338,13.464682080924854,20.862023121387285,7.39757225433526,12.625375722543353,0.21709248554913296,0.945671852568887,0.2606792821257278,2.590920663933268,0.8926312514429802,19,0.6796564535628563,34,38,25,0.6578947368421053
20,"Butler, Lawrence",671732,2024,27.6,27.6,1.75,26.64165103189493,1.76,0,18,0,0.953924798053661,0.16919569608540452,13.21083916083916,18.728951048951046,5.517902097902097,11.828671328671328,0.2710559440559441,-0.556791726552293,-1.01604225166546,-1.0838871664609133,0.8876000654490016,20,0.6349676725859912,41,20,11,0.55
21,"Bauers, Jake",641343,2024,27.2,27.2,1.78,22.983114446529086,1.79,0,13,1,0.8915931765912739,0.10859208597542658,13.238303571428572,19.932946428571427,6.694107142857143,12.317499999999999,0.25707142857142856,0.944778921151162,0.7865177898113229,1.7264842876847473,0.8871489758659659,21,0.7749765436639836,23,18,8,0.4444444444444444
22,"Merrill, Jackson",701538,2026,28.6,28.0,1.72,9.91735537190084,1.74,2,10,0,0.9293513570156136,0.13426848243593614,13.049916666666666,20.605916666666666,7.55625,11.928916666666668,0.24148333333333336,0.4280484901017563,0.24093650162031754,1.0270404819581251,0.8853452329614449,22,0.4735815639247996,64,23,16,0.6956521739130435
23,"Marte, Starling",516782,2024,27.1,27.1,1.78,25.703564727954976,1.77,4,16,1,0.9063759252379184,0.12359134659480198,13.015,19.275746268656714,6.2608208955223885,12.075597014925373,0.26773880597014926,0.6279081918621581,0.5448944089656489,0.895313290445382,0.8710152634655628,23,0.7681300584717795,24,18,6,0.3333333333333333
24,"Tucker, Kyle",663656,2024,26.0,26.0,1.8,36.02251407129456,1.81,0,11,0,0.9337668972021377,0.14767499141325835,13.02931623931624,17.766495726495727,4.737692307692307,11.983247863247863,0.3090940170940171,0.228963388076332,0.9736704380564707,0.19535605679532564,0.8580765603387389,24,1.1179087993112367,8,3,0,0.0
25,"Freeman, Freddie",518692,2024,25.8,25.8,1.81,33.583489681050665,1.87,0,9,2,0.8087668972021377,0.02095310670500694,14.397860962566845,20.3527807486631,5.954652406417112,13.31096256684492,0.22623529411764703,1.5782811307742977,2.4734828776410986,5.520191416187304,0.8576828179186764,25,1.3069875773022268,6,28,14,0.5
