feature,mean_abs_shap,epoch
r_secondary_lead,0.2626,full
accel_5_30,0.2491,full
accel_gap,0.2446,full
r_primary_lead,0.1934,full
accel_0_30,0.1819,full
sprint_speed,0.1765,full
total_90,0.1578,full
bolts,0.1341,full
r_sec_minus_prim_lead,0.131,full
maintain_30_90,0.1262,full
speed_capped,0.0254,full
accel_gap,0.4344,pre_2023
r_primary_lead,0.2516,pre_2023
accel_0_30,0.239,pre_2023
bolts,0.2201,pre_2023
sprint_speed,0.2042,pre_2023
accel_5_30,0.1938,pre_2023
r_sec_minus_prim_lead,0.174,pre_2023
r_secondary_lead,0.1515,pre_2023
maintain_30_90,0.1506,pre_2023
total_90,0.0954,pre_2023
speed_capped,0.0565,pre_2023
total_90,0.441,post_2023
r_primary_lead,0.3255,post_2023
r_secondary_lead,0.2887,post_2023
r_sec_minus_prim_lead,0.2665,post_2023
bolts,0.22,post_2023
maintain_30_90,0.2079,post_2023
sprint_speed,0.1683,post_2023
accel_gap,0.1601,post_2023
accel_0_30,0.0887,post_2023
accel_5_30,0.0706,post_2023
speed_capped,0.0411,post_2023
