play_id,pitcher,pitcher_name,catcher,catcher_name,batter,batter_name,p_throws,ab_number,pitch_number,inning,des,start_speed,pitch_type,call_name,game_pk,at_bat_number,_is_naylor,_clip_prefix,clip_id,is_naylor,mp4_url,downloaded
b7bdf28b-719b-370c-8a18-ffee295c2a34,680755,Braydon Fisher,672386,Alejandro Kirk,687637,Dylan Beavers,R,69,4,9,"Jackson Holliday caught stealing 2nd base, catcher Alejandro Kirk to shortstop Andrés Giménez.",94.8,FF,Ball,776343,69,0,holliday,holliday_b7bdf28b_fisher_R.mp4,0,https://sporty-clips.mlb.com/dnZQZXpfWGw0TUFRPT1fVkFZREFBSUdYbEFBRDFNTEJBQUhCZ1lGQUZsVVVsa0FWQU5RVlFFTUJGQlhVUUZT.mp4,True
841d1908-6108-32f4-99e2-4607a4995eac,621366,Ryan Borucki,672386,Alejandro Kirk,669236,Jeremiah Jackson,L,42,4,6,Jeremiah Jackson strikes out swinging. Jackson Holliday steals (17) 2nd base.,83.8,FS,Strike,776353,42,0,holliday,holliday_841d1908_borucki_L.mp4,0,https://sporty-clips.mlb.com/SzRsb05fWGw0TUFRPT1fRGdWUUFGVU5WZ29BRGxNQ1hnQUhBMUJTQUZnTUJsTUFCbE1GQjFJQkNBcFFWVk1G.mp4,True
0ce23685-1d99-3614-99d7-9bd83a50729a,670059,Colin Holderman,663698,Joey Bart,669236,Jeremiah Jackson,R,57,2,7,Jeremiah Jackson lines out to right fielder Bryan Reynolds.,98.3,SI,Ball,776372,57,0,holliday,holliday_0ce23685_holderman_R.mp4,0,https://sporty-clips.mlb.com/ckQ4NXlfWGw0TUFRPT1fQmxJRVZsY0NYZ2NBQ1FZTFh3QUhCd2RTQUZnTUIxWUFDd2RSQ0FCVUJBTlNBZ3NI.mp4,True
a1e1c884-47c3-3c5d-8461-1742b6a95dd6,676508,Ben Casparius,687221,Dalton Rushing,663624,Ryan Mountcastle,R,42,1,5,"Ryan Mountcastle grounds out, second baseman Miguel Rojas to first baseman Freddie Freeman.",84.3,ST,Ball,776454,42,0,holliday,holliday_a1e1c884_casparius_R.mp4,0,https://sporty-clips.mlb.com/OTc5YlZfWGw0TUFRPT1fVndBRVZRY01YZ1lBREZWUlZRQUhVZ01DQUZrQlZWQUFBMUlCQWxFRFVBcFFWRlpR.mp4,True
2b478fc6-e428-3c3a-9952-697fa2f07d1f,506433,Yu Darvish,666023,Freddy Fermin,669236,Jeremiah Jackson,R,32,2,4,"Padres challenged (tag play), call on the field was overturned: Jackson Holliday caught stealing 2nd base, catcher Freddy Fermin to second baseman Jake Cronenworth.",93.3,SI,Ball,776480,32,0,holliday,holliday_2b478fc6_darvish_R.mp4,0,https://sporty-clips.mlb.com/RDFBbHlfWGw0TUFRPT1fQkZOVlUxeFNCUVFBWFZZQVhnQUhVZ1VIQUZnTVZsTUFCRndDVmxJSFZ3TlNWQU1B.mp4,True
5ebe7bb3-73f0-3f06-9f7f-b8be00d4f5e7,434378,Justin Verlander,672275,Patrick Bailey,669236,Jeremiah Jackson,R,2,3,1,Jeremiah Jackson strikes out swinging. Jackson Holliday steals (14) 2nd base.,78.4,CU,Strike,776507,2,0,holliday,holliday_5ebe7bb3_verlander_R.mp4,0,https://sporty-clips.mlb.com/NHlNNnhfWGw0TUFRPT1fQTFRREFWTldCQUVBRDFGVVZnQUhWd1pRQUZoVFZBY0FVRjFYVlFNRlZRY0RCVmRS.mp4,True
b3444865-c780-3843-b02a-1a7dfc2e90aa,592662,Robbie Ray,672275,Patrick Bailey,683002,Gunnar Henderson,L,3,5,1,Gunnar Henderson lines out to left fielder Luis Matos.,82.9,KC,Strike,776533,3,0,holliday,holliday_b3444865_ray_L.mp4,0,https://sporty-clips.mlb.com/R0I2cUFfV0ZRVkV3dEdEUT09X1ZBSlZVRkFNVUFjQVcxVUtWZ0FIQ1FKVkFBTUZVUUFBQXdRQ1ZGVldBMVpjQUZNSA==.mp4,True
3528aa40-3623-3fbe-bfbd-429ac359c685,595345,Steven Okert,673237,Yainer Diaz,683002,Gunnar Henderson,L,58,1,6,Gunnar Henderson strikes out swinging.,80.8,SL,Strike,776643,58,0,holliday,holliday_3528aa40_okert_L.mp4,0,https://sporty-clips.mlb.com/dnZQQnlfWGw0TUFRPT1fQlFSVFhBVlZVZ0lBQzFRQVZRQUhWMVFEQUFOVEFRVUFCbGNNVVZBR0JBb0dCZ3BU.mp4,True
4a21ae02-ee9f-378f-a040-fbb33627665e,605447,Jordan Romano,665561,Rafael Marchán,676059,Jordan Westburg,R,56,3,7,"Jordan Westburg grounds out, shortstop Trea Turner to first baseman Bryce Harper.",85.7,SL,Ball,776851,56,0,holliday,holliday_4a21ae02_romano_R.mp4,0,https://sporty-clips.mlb.com/NHlNb05fWGw0TUFRPT1fQWxCVFZRVlJWZ0FBWFFjTEFBQUhCZzRBQUFBRlYxRUFWQWRYQXdBREF3UlRCZ2NE.mp4,True
53e45164-1542-3fef-b7b3-300ff4eb3922,690990,Cade Horton,608348,Carson Kelly,683002,Gunnar Henderson,R,3,3,1,Gunnar Henderson walks.,95.8,FF,Ball,776915,3,0,holliday,holliday_53e45164_horton_R.mp4,0,https://sporty-clips.mlb.com/V0FkS2xfWGw0TUFRPT1fQXdJRVVGRUZVQVlBQ1ZjR1ZBQUhWMU1BQUFNQ0FWSUFBVlVGVmxVQlZGRldDUUJV.mp4,True
