date,pitcher_name,result,avg_velocity_ftps,lead_at_release_ft,delivery_s,analysis_method,naylor_sprint_speed_ftps,naylor_secondary_lead_sbx_ft
2025-09-11,"Peralta, Sammy",SB,22.21,38.2,1.1031,full,24.4,29.48
2025-07-27,"Hendricks, Kyle",SB,20.596,33.8,0.9322,reused,24.4,29.48
2025-08-09,"Montgomery, Mason",SB,19.094,39.0,1.2936,full,24.4,29.48
2025-08-05,"Martin, Davis",SB,17.431,34.5,1.1359,full,24.4,29.48
2025-05-04,"Kerkering, Orion",SB,16.842,26.0,0.8372,capped_6s,24.4,29.48
2025-04-06,"López, Jorge",SB,14.958,31.7,1.2435,capped_6s,24.4,29.48
2025-08-06,"Eisert, Brandon",SB,14.946,33.6,1.3248,full,24.4,29.48
2025-04-03,"Ottavino, Adam",SB,14.744,36.8,1.56,full,24.4,29.48
2025-07-27,"Hendricks, Kyle",SB,14.16,23.7,0.9322,full,24.4,29.48
2025-08-31,"Allard, Kolby",SB,14.153,26.8,1.2153,full,24.4,29.48
2025-03-30,"Morgan, Eli",SB,13.934,38.7,1.6148,full,24.4,29.48
2025-06-19,"Gausman, Kevin",SB,13.813,25.9,1.0932,reused,24.4,29.48
2025-07-07,"Núñez, Eduarniel",SB,12.727,30.7,1.0922,full,24.4,29.48
2025-07-31,"Latz, Jacob",SB,12.222,24.9,1.1373,full,24.4,29.48
2025-05-16,"Palmquist, Carson",SB,11.826,24.8,1.1923,full,24.4,29.48
2025-09-08,"Graceffo, Gordon",SB,11.825,30.6,1.2431,full,24.4,29.48
2025-07-26,"Anderson, Tyler",SB,10.925,23.7,1.2357,full,24.4,29.48
2025-08-05,"Martin, Davis",SB,10.814,27.8,1.5351,capped_6s,24.4,29.48
2025-08-06,"Eisert, Brandon",SB,10.574,24.5,1.4469,capped_6s,24.4,29.48
2025-09-20,"Valdez, Framber",SB,9.921,22.3,1.2599,full,24.4,29.48
2025-09-07,"Wentz, Joey",SB,9.726,24.9,1.6142,full,24.4,29.48
2025-05-13,"Ray, Robbie",SB,9.53,25.7,1.595,full,24.4,29.48
2025-04-22,"Littell, Zack",CS,8.128,23.3,0.9843,capped_6s,24.4,29.48
