clip_id,pitcher_name,pitcher_id,catcher_name,catcher_id,play_id,game_pk,at_bat_number,pitch_number,p_throws,fps,n_frames,analysis_frames,scene_cut_at,n_segments,segment_index,chosen_segment,set_frame,first_move_frame,release_frame,delivery_s,first_move_cue,leg_lift_frame,hand_break_frame,release_method,release_kpt_conf,good_track,in_band,release_pre_cut,usable,confidence,qa_video,pitcher_track_id,status
NAYLOR_03ee0445_kerkering_R.mp4,Orion Kerkering,689147,J.T. Realmuto,592663,03ee0445-f24d-3b43-be42-8a626892a14b,778059,43,3,R,59.824,896,269,269,4,0,[0:269],14,35.13,54.5,0.3238,leg_lift,35.13,,extension_collapse,0.97,True,False,True,False,0.75,NAYLOR_03ee0445_kerkering_R_annotated.mp4,3,ok
NAYLOR_04855f81_gausman_R.mp4,Kevin Gausman,592332,Alejandro Kirk,672386,04855f81-6b86-3b37-a53a-c5df4362065d,777448,37,3,R,59.823,896,158,253,5,2,[598:756],619,637.44,652.29,0.2483,motion_onset,,,extension_collapse,0.32,True,False,True,False,0.75,NAYLOR_04855f81_gausman_R_annotated.mp4,609,ok
NAYLOR_09e58c6b_lopez_R.mp4,Jorge López,605347,Keibert Ruiz,660688,09e58c6b-2f97-3f00-b9ce-5836e3517328,778429,68,3,R,59.723,650,650,-1,1,0,[0:650],444,447.52,456.5,0.1503,leg_lift,447.52,,extension_collapse,0.963,True,False,True,False,0.75,NAYLOR_09e58c6b_lopez_R_annotated.mp4,1024,ok
NAYLOR_0a8f1dbd_eisert_L.mp4,Brandon Eisert,685126,Kyle Teel,691019,0a8f1dbd-5c3d-331a-8f84-9b72f9d32d2c,776841,64,3,L,59.701,586,116,470,2,1,[470:586],528,524.0,548.92,0.4175,leg_lift,524.0,,extension_collapse,0.958,True,False,True,False,0.75,NAYLOR_0a8f1dbd_eisert_L_annotated.mp4,1094,ok
NAYLOR_0dc95fbb_martin_R.mp4,Davis Martin,663436,Kyle Teel,691019,0dc95fbb-2af0-34b5-aa27-20879e2e0410,776857,45,2,R,59.775,698,160,69,5,1,[69:229],95,103.41,171.31,1.1359,leg_lift,103.41,110.0,extension_collapse,0.879,True,True,True,True,1.0,NAYLOR_0dc95fbb_martin_R_annotated.mp4,1097,ok
NAYLOR_1427709a_palmquist_L.mp4,Carson Palmquist,687223,Jacob Stallings,607732,1427709a-73d7-39c9-b8bc-2872c722c400,777897,13,1,L,59.75,668,466,466,2,0,[0:466],106,190.23,261.48,1.1923,leg_lift,190.23,111.0,extension_collapse,0.974,True,True,True,True,1.0,NAYLOR_1427709a_palmquist_L_annotated.mp4,1147,ok
NAYLOR_2d002b65_ray_L.mp4,Robbie Ray,592662,Patrick Bailey,672275,2d002b65-a121-3e62-9ed9-c6905dde61f1,777930,7,3,L,59.761,608,387,387,2,0,[0:387],84,133.28,228.59,1.595,leg_lift,133.28,91.0,extension_collapse,0.966,True,True,True,True,1.0,NAYLOR_2d002b65_ray_L_annotated.mp4,1219,ok
NAYLOR_39a80ca9_martin_R.mp4,Davis Martin,663436,Kyle Teel,691019,39a80ca9-c54f-36cc-a967-cc7e01f3ec15,776857,44,5,R,59.762,704,235,235,2,0,[0:235],105,110.53,179.5,1.154,leg_lift,110.53,108.0,extension_collapse,0.262,True,True,True,False,0.6,NAYLOR_39a80ca9_martin_R_annotated.mp4,1217,ok
NAYLOR_4ad111f2_valdez_L.mp4,Framber Valdez,664285,Yainer Diaz,673237,4ad111f2-dc37-3f4c-862f-2045a73cc313,776248,12,2,L,59.725,536,258,258,2,0,[0:258],40,105.26,180.5,1.2599,leg_lift,105.26,117.0,extension_collapse,0.859,True,True,True,True,1.0,NAYLOR_4ad111f2_valdez_L_annotated.mp4,1436,ok
NAYLOR_4dde2b60_ottavino_R.mp4,Adam Ottavino,493603,J.C. Escarra,641555,4dde2b60-52ad-3ba5-8c87-0c4a19d8fb80,778466,50,3,R,59.764,534,197,337,2,1,[337:534],385,382.0,475.24,1.56,leg_lift,382.0,,extension_collapse,0.36,True,True,True,True,1.0,NAYLOR_4dde2b60_ottavino_R_annotated.mp4,1492,ok
