play_id,pitcher,pitcher_name,catcher,catcher_name,batter,batter_name,p_throws,ab_number,pitch_number,inning,des,start_speed,pitch_type,call_name,game_pk,at_bat_number,_is_naylor,_clip_prefix,clip_id,is_naylor,mp4_url,downloaded
b4c675af-e1da-3562-894c-aec3d29f3201,669467,Andre Pallante,671056,Iván Herrera,668227,Randy Arozarena,R,24,1,4,Randy Arozarena strikes out swinging.,84.7,SL,Ball,823069,24,0,,b4c675af_pallante_R.mp4,0,https://sporty-clips.mlb.com/ZFh2QnpfWGw0TUFRPT1fVkFVQ1VsTUJCMVFBWFZOV0J3QUhCQUJVQUZrTVZ3SUFVd0JXQTFjSENGVldBZ0pY.mp4,True
f3932884-75d2-33a8-aa11-f9b3769c6f8c,669461,Matthew Liberatore,686780,Pedro Pagés,641487,J.P. Crawford,L,27,3,3,J.P. Crawford walks.,93.7,FF,Ball,823070,27,0,,f3932884_liberatore_L.mp4,0,https://sporty-clips.mlb.com/TDY1T09fWGw0TUFRPT1fVUFKWVYxWU1YZ1lBRDFkV1ZBQUhBbGRlQUFCVVVsQUFWRnhYQXdRRENGQlRWZ29G.mp4,True
98f1e9ec-6aa1-3989-8951-42eb50863093,592773,Ryne Stanek,686780,Pedro Pagés,668227,Randy Arozarena,R,64,4,7,Randy Arozarena flies out to right fielder Jordan Walker.,98.6,FF,Strike,823070,64,0,,98f1e9ec_stanek_R.mp4,0,https://sporty-clips.mlb.com/TDY1T09fWGw0TUFRPT1fRHdrSFZRRU5BMUVBRGdOVFZ3QUhDQTVmQUZrTVZsQUFCbGRRVWdZRkNRVldBQXRW.mp4,True
754772f8-5188-3cc8-ae8d-78072cc87dce,702273,Noah Schultz,691011,Drew Romo,608701,Rob Refsnyder,L,45,1,6,Rob Refsnyder called out on strikes.,88.8,CH,Ball,823137,45,0,,754772f8_schultz_L.mp4,0,https://sporty-clips.mlb.com/a0R2MXZfWGw0TUFRPT1fQVFSVlUxTUdBQW9BRFZNS1hnQUhVbFZlQUFCUVd3VUFCVjBGQndGV1VndFNWRkVE.mp4,True
1de0bff2-6088-3ea0-a6db-89e8660745d9,685126,Brandon Eisert,691011,Drew Romo,702284,Cole Young,L,47,1,6,Cole Young grounds out to first baseman Munetaka Murakami.,88.7,SI,Strike,823137,47,0,,1de0bff2_eisert_L.mp4,0,https://sporty-clips.mlb.com/a0R2MXZfWGw0TUFRPT1fQjFVRVZBWlNBQUFBRGxJS1hnQUhWRmRXQUFBREJ3TUFDbHhRQ0FVREFRUlJCVlpm.mp4,True
2915c326-51bc-3d0d-90b5-751b1655017b,800311,Didier Fuentes,686948,Drake Baldwin,668227,Randy Arozarena,R,61,4,8,Randy Arozarena strikes out on a foul tip. Josh Naylor steals (7) 2nd base.,86.1,SL,Strike,823141,61,0,,2915c326_fuentes_R.mp4,0,https://sporty-clips.mlb.com/TzA0WmRfWGw0TUFRPT1fQkFoUVVRY0hWQVFBRFZOUUJRQUhWUVlDQUZnRkFWUUFCVkFFVWdJREJBWlZBUVVF.mp4,True
5765baf6-7284-3e74-ad95-e24eb09a3c6f,693821,Bryce Elder,686948,Drake Baldwin,670042,Luke Raley,R,30,1,4,Luke Raley strikes out swinging.,82.5,SL,Ball,823142,30,0,,5765baf6_elder_R.mp4,0,https://sporty-clips.mlb.com/d2V3ek5fWGw0TUFRPT1fQXdaWFVRWlZBQVFBRDFBS1VnQUhWQUZTQUFCUldsUUFWMWNCVlZFRkNGSldVd1FB.mp4,True
42124bfe-a332-3e01-8273-1d5bc876b39b,628452,Raisel Iglesias,686948,Drake Baldwin,668227,Randy Arozarena,R,66,4,9,Randy Arozarena strikes out swinging.,89.2,CH,Ball,823142,66,0,,42124bfe_iglesias_R.mp4,0,https://sporty-clips.mlb.com/d2V3ek5fWGw0TUFRPT1fQWdOUVZsQldBRmNBV1ZFQlZBQUhWQVpYQUZrSFZGSUFBd0VBVWxBTkJnVUhBd3NF.mp4,True
34b669d2-2193-3c9e-8187-159028f8e6af,657746,Joe Ryan,605170,Victor Caratini,668227,Randy Arozarena,R,47,4,6,"Twins challenged (tag play), call on the field was overturned: Josh Naylor caught stealing 2nd base, catcher Victor Caratini to second baseman Luke Keaschall.",93.1,FF,Ball,823716,47,0,,34b669d2_ryan_R.mp4,0,https://sporty-clips.mlb.com/WnhxOEdfWGw0TUFRPT1fQlFVRFVsSU5BZ0FBQ2xNTFZRQUhVZzhEQUZrRVcxWUFBMUFNQUFFTlZ3c0FCbE1B.mp4,True
17b5aad7-3ed3-3b3b-9f01-460c4669ce34,837227,Tatsuya Imai,543877,Christian Vázquez,663728,Cal Raleigh,R,22,1,3,Cal Raleigh strikes out swinging.,95.4,SI,Strike,824197,22,0,,17b5aad7_imai_R.mp4,0,https://sporty-clips.mlb.com/SzRCOHZfWGw0TUFRPT1fQndZRFVRVlZBZ1VBQ3dkV1ZRQUhVd1VFQUZoVFUxQUFCbE1GVXdjREJ3b0dWUUZT.mp4,True
