date,pitcher_name,result,avg_velocity_ftps,lead_at_release_ft,delivery_s,analysis_method,runner_sprint_speed_ftps,runner_secondary_lead_sbx_ft
2025-06-29,"Jansen, Kenley",SB,13.503,29.0,0.9035,full,29.3,24.57
2025-06-24,"Morejon, Adrian",SB,11.788,26.4,1.1028,full,29.3,24.57
2025-09-21,"Holmes, Clay",SB,11.353,36.3,1.5327,full,29.3,24.57
2025-08-16,"Romano, Jordan",SB,9.623,23.9,1.0496,full,29.3,24.57
2025-05-03,"Lodolo, Nick",SB,8.961,26.9,1.2275,full,29.3,24.57
2025-03-27,"Wheeler, Zack",CS,8.565,21.5,1.0858,full,29.3,24.57
2025-04-20,"Halvorsen, Seth",SB,6.384,23.7,1.6135,full,29.3,24.57
2025-08-10,"Verlander, Justin",SB,5.864,21.5,1.4666,full,29.3,24.57
2025-08-09,"Whisenhunt, Carson",SB,5.828,23.3,1.4756,full,29.3,24.57
2025-07-12,"Anderson, Grant",SB,5.609,18.1,0.8914,full,29.3,24.57
2025-05-06,"Ortiz, Luis",SB,4.677,20.4,1.6462,full,29.3,24.57
2025-05-16,"Povich, Cade",CS,,23.4,0.1858,full,29.3,24.57
2025-06-08,"Latz, Jacob",CS,,22.7,0.5755,full,29.3,24.57
2025-06-18,"Márquez, Germán",CS,,20.7,1.6346,full,29.3,24.57
2025-06-19,"Dollander, Chase",CS,,22.3,0.2079,full,29.3,24.57
2025-06-22,"Banda, Anthony",CS,,27.8,0.6043,full,29.3,24.57
2025-06-23,"Peralta, Wandy",SB,,31.4,0.1142,full,29.3,24.57
2025-08-09,"Gage, Matt",CS,,20.1,0.2156,full,29.3,24.57
2025-08-25,"Schlittler, Cam",PK,,,,full,29.3,24.57
2025-09-02,"Mazur, Adam",SB,,14.0,1.4249,full,29.3,24.57
