play_id,pitcher,pitcher_name,catcher,catcher_name,batter,batter_name,p_throws,ab_number,pitch_number,inning,des,start_speed,pitch_type,call_name,game_pk,at_bat_number,_is_naylor,_clip_prefix,clip_id,is_naylor,mp4_url,downloaded
32ae90e6-8025-36e2-9f20-9daa2a264d9e,687134,Bradley Blalock,696100,Hunter Goodman,680728,Adrian Del Castillo,R,23,3,3,"Adrian Del Castillo grounds out, first baseman Kyle Farmer to pitcher Bradley Blalock. Lourdes Gurriel Jr. to 3rd.",91.1,FF,Ball,776742,23,0,gurriel,gurriel_32ae90e6_blalock_R.mp4,0,https://sporty-clips.mlb.com/d2VXZUJfWGw0TUFRPT1fQlFNQUFWMEVBd1FBQUZJQVV3QUhCMU5VQUZoVFVWRUFDd0ZVVVFGVUF3VlJWQXNE.mp4,True
663f6452-0b3c-3c91-9169-fe3285bfb56d,675512,Troy Melton,693307,Dillon Dingler,663536,Tristin English,R,12,6,2,"Tristin English strikes out swinging and Lourdes Gurriel Jr. caught stealing 2nd, catcher Dillon Dingler to second baseman Gleyber Torres to catcher Dillon Dingler.",98.0,FF,Strike,776973,12,0,gurriel,gurriel_663f6452_melton_R.mp4,0,https://sporty-clips.mlb.com/OHl3VmVfWGw0TUFRPT1fQUFkU0FsSUFVd0FBQ0FBQkJRQUhVZzlYQUZnRVZWZ0FWQUFHQWdzQVUxVUhCUVFD.mp4,True
8b0e6fb5-4580-3f53-b66f-5f7deafda6ee,678368,Valente Bellozo,689414,Liam Hicks,664983,Jake McCarthy,R,62,2,7,"Lourdes Gurriel Jr. caught stealing 2nd base, catcher Liam Hicks to shortstop Otto Lopez.",81.9,FC,Ball,777318,62,0,gurriel,gurriel_8b0e6fb5_bellozo_R.mp4,0,https://sporty-clips.mlb.com/cU82dnFfWGw0TUFRPT1fRGxOUkFWSlNCQWNBREZjS1ZnQUhWd05WQUFNRFZRY0FCd01DVkZaVVYxY0VCbGNE.mp4,True
47ea8e44-0a0a-333c-8f0d-2f1144bdad0b,685126,Brandon Eisert,700337,Edgar Quero,545341,Randal Grichuk,L,60,1,8,Randal Grichuk strikes out swinging.,89.7,FF,Strike,777383,60,0,gurriel,gurriel_47ea8e44_eisert_L.mp4,0,https://sporty-clips.mlb.com/UUEyOTZfWGw0TUFRPT1fQWdZRUJWeFJVZ1lBQ0FNQ0J3QUhBZ1VGQUZsVFV3VUFBQU1FQVFjQlUxY0VWQUlF.mp4,True
c78d0407-c886-3693-be98-3a8216b10d2e,596295,Austin Gomber,696100,Hunter Goodman,647304,Josh Naylor,L,5,5,1,Josh Naylor lines out to first baseman Michael Toglia.,81.0,SL,Ball,777430,5,0,gurriel,gurriel_c78d0407_gomber_L.mp4,0,https://sporty-clips.mlb.com/ZzY4ZFFfWGw0TUFRPT1fVlFaWkFGUUFWZ1VBVzFvS1VBQUhCdzlWQUFOUVdsa0FBUVFOQWdJRFV3SlZWQUFE.mp4,True
a6cd1b8b-e95d-3594-b18b-66c196495f88,686701,Ryan Bergert,455117,Martín Maldonado,656976,Pavin Smith,R,29,2,4,Pavin Smith strikes out on a foul tip.,83.0,ST,Strike,777515,29,0,gurriel,gurriel_a6cd1b8b_bergert_R.mp4,0,https://sporty-clips.mlb.com/V0FkYlBfV0ZRVkV3dEdEUT09X1Z3Y0NBRlZXWGxBQVhWc0hBZ0FIQkE5U0FBTUVXd01BQkZOV0FRb0RCUXBRVmdwZQ==.mp4,True
a8239d9b-dc0b-375a-a015-3d7e5c55822a,663423,Trent Thornton,663728,Cal Raleigh,656976,Pavin Smith,R,54,4,6,Pavin Smith walks.,94.9,FF,Ball,777559,54,0,gurriel,gurriel_a8239d9b_thornton_R.mp4,0,https://sporty-clips.mlb.com/V0FkTVBfWGw0TUFRPT1fVndsVFYxMVFYMUFBWEFFQ0JBQUhCZ01IQUFBRlVsUUFBUUVDVlFaV0JBWmRBZ0FI.mp4,True
f0389d17-bc80-3e5f-bf2f-04e1bfe7981f,519242,Chris Sale,669221,Sean Murphy,553993,Eugenio Suárez,L,19,1,3,"Lourdes Gurriel Jr. caught stealing 2nd base, catcher Sean Murphy to second baseman Ozzie Albies.",98.7,FF,Strike,777654,19,0,gurriel,gurriel_f0389d17_sale_L.mp4,0,https://sporty-clips.mlb.com/OTc5UGxfWGw0TUFRPT1fVUFGU1hGMVFWd1VBV2dFS1ZnQUhWQU1BQUFOVFVRY0FBbEZRQVZGVFZBUmNDQU1B.mp4,True
aa7e34a4-7b00-3cee-a39a-4c234996965c,666214,Joey Wentz,663698,Joey Bart,656976,Pavin Smith,L,40,3,4,Pavin Smith strikes out swinging.,95.1,FF,Strike,777744,40,0,gurriel,gurriel_aa7e34a4_wentz_L.mp4,0,https://sporty-clips.mlb.com/MTZxM2dfWGw0TUFRPT1fVjFCV0FWY0FCd1lBRHdBQ1ZnQUhVbE1EQUFBR1dnQUFCZ1lIQXdjTUNBVmNCZ2NG.mp4,True
4ad6c2ba-9c56-336a-bca7-84cfa662a49a,669461,Matthew Liberatore,650968,Yohel Pozo,647304,Josh Naylor,L,41,3,6,"Josh Naylor grounds out, shortstop Masyn Winn to first baseman Alec Burleson. Lourdes Gurriel Jr. to 3rd.",90.3,FC,Strike,777786,41,0,gurriel,gurriel_4ad6c2ba_liberatore_L.mp4,0,https://sporty-clips.mlb.com/d2VXNHFfWGw0TUFRPT1fQWxBRlVnY0dCRk1BQVFFSFVBQUhBZ0FIQUFOV0FsWUFDbEZXVmxJREJ3RUVCQXNI.mp4,True
