date,pitcher_name,result,avg_velocity_ftps,lead_at_release_ft,delivery_s,analysis_method,runner_sprint_speed_ftps,runner_secondary_lead_sbx_ft
2025-08-14,"Blalock, Bradley",SB,17.853,29.7,0.913,full,27.1,26.86
2025-05-27,"Wentz, Joey",SB,16.306,41.1,1.3247,full,27.1,26.86
2025-06-24,"Eisert, Brandon",SB,11.717,23.1,0.8961,full,27.1,26.86
2025-06-10,"Thornton, Trent",SB,11.248,34.9,1.6447,full,27.1,26.86
2025-07-28,"Melton, Troy",CS,9.278,22.9,1.1102,full,27.1,26.86
2025-06-20,"Gomber, Austin",SB,8.248,23.4,1.1276,full,27.1,26.86
2025-04-27,"Daniel, Davis",SB,6.721,23.1,1.2945,full,27.1,26.86
2025-05-24,"Liberatore, Matthew",SB,6.265,21.4,1.4845,full,27.1,26.86
2025-06-04,"Sale, Chris",CS,5.585,22.4,1.6114,full,27.1,26.86
2025-06-14,"Bergert, Ryan",SB,4.629,18.2,1.037,full,27.1,26.86
2025-06-03,"De Los Santos, Enyel",BK,,,,full,27.1,26.86
2025-06-20,"Rolison, Ryan",BK,,,,full,27.1,26.86
2025-06-28,"Bellozo, Valente",CS,,19.1,0.6341,full,27.1,26.86
