clip_id,pitcher_name,pitcher_id,catcher_name,catcher_id,play_id,game_pk,at_bat_number,pitch_number,p_throws,fps,n_frames,analysis_frames,scene_cut_at,n_segments,segment_index,chosen_segment,set_frame,first_move_frame,release_frame,delivery_s,first_move_cue,leg_lift_frame,hand_break_frame,release_method,release_kpt_conf,good_track,in_band,release_pre_cut,usable,confidence,qa_video,pitcher_track_id,status
holliday_0ce23685_holderman_R.mp4,Colin Holderman,670059,Joey Bart,663698,0ce23685-1d99-3614-99d7-9bd83a50729a,776372,57,2,R,59.752,770,164,599,3,1,[599:763],620,618.24,716.5,1.6445,leg_lift,618.24,640.0,extension_collapse,0.97,True,True,True,True,1.0,holliday_0ce23685_holderman_R_annotated.mp4,113,ok
holliday_13a471d0_shuster_L.mp4,Jared Shuster,694363,Edgar Quero,700337,13a471d0-5650-3fe0-98ea-5c05e575ea2f,777720,6,1,L,59.67,626,540,540,2,0,[0:540],69,106.18,182.16,1.2733,leg_lift,106.18,87.0,extension_collapse,0.852,True,True,True,True,1.0,holliday_13a471d0_shuster_L_annotated.mp4,137,ok
holliday_26647807_brieske_R.mp4,Beau Brieske,689225,Dillon Dingler,693307,26647807-7731-3b05-ad05-25dc3d0efe39,777562,68,3,R,59.783,912,78,834,2,1,[834:912],858,863.0,886.0,0.3847,hand_break,,863.0,extension_collapse,0.299,True,False,True,False,0.35,holliday_26647807_brieske_R_annotated.mp4,387,ok
holliday_2b478fc6_darvish_R.mp4,Yu Darvish,506433,Freddy Fermin,666023,2b478fc6-e428-3c3a-9952-697fa2f07d1f,776480,32,2,R,59.742,666,295,295,3,0,[0:295],92,136.89,229.5,1.5502,leg_lift,136.89,109.0,extension_collapse,0.87,True,True,True,True,1.0,holliday_2b478fc6_darvish_R_annotated.mp4,394,ok
holliday_309307de_fried_L.mp4,Max Fried,608331,Austin Wells,669224,309307de-6ead-3a8a-9d65-2b2bbba78189,777438,43,6,L,59.707,644,137,490,3,1,[490:627],534,535.13,625.0,1.5052,motion_onset,,,extension_collapse,0.103,True,True,True,False,0.6,holliday_309307de_fried_L_annotated.mp4,719,ok
holliday_3528aa40_okert_L.mp4,Steven Okert,595345,Yainer Diaz,673237,3528aa40-3623-3fbe-bfbd-429ac359c685,776643,58,1,L,59.747,748,654,654,2,0,[0:654],13,101.59,183.22,1.3662,leg_lift,101.59,103.0,extension_collapse,0.584,True,True,True,True,1.0,holliday_3528aa40_okert_L_annotated.mp4,756,ok
holliday_386a0d1f_pallante_R.mp4,Andre Pallante,669467,Iván Herrera,671056,386a0d1f-36ba-37d1-bd44-e858dbc9a29e,777754,27,5,R,59.799,726,362,152,4,1,[152:514],185,181.0,212.32,0.5238,leg_lift,181.0,,extension_collapse,0.78,True,False,True,False,0.75,holliday_386a0d1f_pallante_R_annotated.mp4,919,ok
holliday_4a21ae02_romano_R.mp4,Jordan Romano,605447,Rafael Marchán,665561,4a21ae02-ee9f-378f-a040-fbb33627665e,776851,56,3,R,59.774,890,382,151,3,1,[151:533],190,188.73,283.5,1.5854,leg_lift,188.73,,extension_collapse,0.561,True,True,True,True,1.0,holliday_4a21ae02_romano_R_annotated.mp4,976,ok
holliday_4f418372_junis_R.mp4,Jakob Junis,596001,Austin Hedges,595978,4f418372-7d3b-3a78-9c69-df1b0e0ec681,778292,52,5,R,59.782,970,132,528,5,3,[760:892],817,816.34,887.95,1.1978,motion_onset,,,extension_collapse,0.92,True,True,True,True,1.0,holliday_4f418372_junis_R_annotated.mp4,1253,ok
holliday_53e45164_horton_R.mp4,Cade Horton,690990,Carson Kelly,608348,53e45164-1542-3fef-b7b3-300ff4eb3922,776915,3,3,R,59.703,557,260,260,3,0,[0:260],57,102.76,136.5,0.5652,leg_lift,102.76,,extension_collapse,0.969,True,False,True,False,0.75,holliday_53e45164_horton_R_annotated.mp4,1325,ok
holliday_575182e6_kelly_R.mp4,Kevin Kelly,687330,Danny Jansen,643376,575182e6-5680-3249-95ca-6d89d6797c7e,777477,72,2,R,59.789,954,222,32,4,1,[32:254],88,124.85,171.62,0.7822,leg_lift,124.85,124.0,extension_collapse,0.976,True,False,True,False,0.75,holliday_575182e6_kelly_R_annotated.mp4,1433,ok
