date,catcher,pitcher_name,second_runner,base,result,run_value,lead_at_firstmove_ft,gain_to_release_ft,lead_at_release_ft
2026-04-24,Iván Herrera,Andre Pallante,,2B,SB,0.20,24.3,15.5,39.8
2026-04-25,Pedro Pagés,Ryne Stanek,Wetherholt J.,2B,SB,0.20,18.6,8.5,27.1
2026-04-25,Pedro Pagés,Matthew Liberatore,Winn M.,2B,SB,0.20,17.2,8.4,25.6
2026-04-28,Victor Caratini,Joe Ryan,Keaschall L.,2B,CS,-0.45,13.3,8.4,21.6
2026-05-05,Drake Baldwin,Raisel Iglesias,,2B,SB,0.20,15.4,10.5,25.9
2026-05-05,Drake Baldwin,Bryce Elder,Mateo J.,2B,SB,0.20,12.3,8.9,21.2
2026-05-06,Drake Baldwin,Didier Fuentes,,2B,SB,0.20,19.1,7.5,26.6
2026-05-12,Christian Vázquez,Tatsuya Imai,,2B,SB,0.20,24.9,15.2,40.2
2026-05-18,Drew Romo,Noah Schultz,,2B,SB,0.20,14.2,9.8,24.0
2026-05-18,Drew Romo,Brandon Eisert,Vargas M.,3B,SB,0.20,18.0,11.3,29.4
