date,pitcher_name,p_throws,game_pk,play_id,event
2026-04-24,Andre Pallante,R,823069,b4c675af-e1da-3562-894c-aec3d29f3201,Stolen Base 2B
2026-04-25,Matthew Liberatore,L,823070,f3932884-75d2-33a8-aa11-f9b3769c6f8c,Stolen Base 2B
2026-04-25,Ryne Stanek,R,823070,98f1e9ec-6aa1-3989-8951-42eb50863093,Stolen Base 2B
2026-04-28,Joe Ryan,R,823716,34b669d2-2193-3c9e-8187-159028f8e6af,Caught Stealing 2B
2026-05-05,Bryce Elder,R,823142,5765baf6-7284-3e74-ad95-e24eb09a3c6f,Stolen Base 2B
2026-05-05,Raisel Iglesias,R,823142,42124bfe-a332-3e01-8273-1d5bc876b39b,Stolen Base 2B
2026-05-06,Didier Fuentes,R,823141,2915c326-51bc-3d0d-90b5-751b1655017b,Stolen Base 2B
2026-05-12,Tatsuya Imai,R,824197,17b5aad7-3ed3-3b3b-9f01-460c4669ce34,Stolen Base 2B
2026-05-18,Noah Schultz,L,823137,754772f8-5188-3cc8-ae8d-78072cc87dce,Stolen Base 2B
2026-05-18,Brandon Eisert,L,823137,1de0bff2-6088-3ea0-a6db-89e8660745d9,Stolen Base 3B
