clip_id,pitcher_name,pitcher_id,catcher_name,catcher_id,play_id,game_pk,at_bat_number,pitch_number,p_throws,fps,n_frames,analysis_frames,scene_cut_at,n_segments,segment_index,chosen_segment,set_frame,first_move_frame,release_frame,delivery_s,first_move_cue,leg_lift_frame,hand_break_frame,release_method,release_kpt_conf,good_track,in_band,release_pre_cut,usable,confidence,qa_video,pitcher_track_id,status,analysis_method
17b5aad7_imai_R.mp4,Tatsuya Imai,837227,Christian Vázquez,543877,17b5aad7-3ed3-3b3b-9f01-460c4669ce34,824197,22,1,R,59.764,564,215,215,3,0,[0:215],48,141.27,198.5,0.9576,leg_lift,141.27,167.0,extension_collapse,0.949,True,True,True,True,1.0,17b5aad7_imai_R_annotated.mp4,1,ok,full
1de0bff2_eisert_L.mp4,Brandon Eisert,685126,Drew Romo,691011,1de0bff2-6088-3ea0-a6db-89e8660745d9,823137,47,1,L,59.69,572,358,-1,1,0,[0:358],5,93.67,157.94,1.0768,leg_lift,93.67,140.0,extension_collapse,0.952,True,True,True,True,1.0,1de0bff2_eisert_L_annotated.mp4,91,ok,capped_6s
2915c326_fuentes_R.mp4,Didier Fuentes,800311,Drake Baldwin,686948,2915c326-51bc-3d0d-90b5-751b1655017b,823141,61,4,R,59.7,570,526,526,2,0,[0:526],61,119.53,204.5,1.4233,leg_lift,119.53,158.0,extension_collapse,0.672,True,True,True,True,1.0,2915c326_fuentes_R_annotated.mp4,148,ok,full
34b669d2_ryan_R.mp4,Joe Ryan,657746,Victor Caratini,605170,34b669d2-2193-3c9e-8187-159028f8e6af,823716,47,4,R,59.732,728,156,112,5,1,[112:268],159,159.03,207.71,0.815,leg_lift,159.03,161.0,extension_collapse,0.75,True,True,True,True,1.0,34b669d2_ryan_R_annotated.mp4,179,ok,full
42124bfe_iglesias_R.mp4,Raisel Iglesias,628452,Drake Baldwin,686948,42124bfe-a332-3e01-8273-1d5bc876b39b,823142,66,4,R,59.701,580,171,264,3,2,[409:580],457,474.37,494.37,0.335,leg_lift,474.37,473.0,extension_collapse,0.632,True,False,True,False,0.75,42124bfe_iglesias_R_annotated.mp4,255,ok,full
5765baf6_elder_R.mp4,Bryce Elder,693821,Drake Baldwin,686948,5765baf6-7284-3e74-ad95-e24eb09a3c6f,823142,30,1,R,59.662,564,358,-1,1,0,[0:358],128,134.91,226.16,1.5294,leg_lift,134.91,160.0,extension_collapse,0.411,True,True,True,True,1.0,5765baf6_elder_R_annotated.mp4,149,ok,capped_6s
754772f8_schultz_L.mp4,Noah Schultz,702273,Drew Romo,691011,754772f8-5188-3cc8-ae8d-78072cc87dce,823137,45,1,L,59.708,624,623,623,2,0,[0:623],5,465.42,532.74,1.1275,leg_lift,465.42,,extension_collapse,0.865,True,True,True,True,1.0,754772f8_schultz_L_annotated.mp4,426,ok,full
98f1e9ec_stanek_R.mp4,Ryne Stanek,592773,Pedro Pagés,686780,98f1e9ec-6aa1-3989-8951-42eb50863093,823070,64,4,R,59.7,598,358,-1,1,0,[0:358],62,60.89,112.5,0.8645,leg_lift,60.89,243.0,extension_collapse,0.866,True,True,True,True,1.0,98f1e9ec_stanek_R_annotated.mp4,2,ok,capped_6s
b4c675af_pallante_R.mp4,Andre Pallante,669467,Iván Herrera,671056,b4c675af-e1da-3562-894c-aec3d29f3201,823069,24,1,R,59.73,608,395,395,2,0,[0:395],11,9.33,87.17,1.3031,leg_lift,9.33,,extension_collapse,0.747,True,True,True,True,1.0,b4c675af_pallante_R_annotated.mp4,551,ok,full
f3932884_liberatore_L.mp4,Matthew Liberatore,669461,Pedro Pagés,686780,f3932884-75d2-33a8-aa11-f9b3769c6f8c,823070,27,3,L,59.742,628,523,16,3,1,[16:539],106,250.58,347.22,1.6176,leg_lift,250.58,183.0,extension_collapse,0.988,True,True,True,True,1.0,f3932884_liberatore_L_annotated.mp4,689,ok,full
