date,pitcher_id,pitcher_name,p_throws,event,catcher_name,clip_id,play_id,fps,delivery_s,usable,release_conf,analysis_method,note
2025-03-27,554430,"Wheeler, Zack",R,Caught Stealing 2B,"Realmuto, J.T.",young_404b9563_wheeler_R.mp4,404b9563-0fd8-32b1-ade7-6de0c9f7b297,59.707,1.0858,True,0.655,full,
2025-04-20,678020,"Halvorsen, Seth",R,Stolen Base 2B,"Fulford, Braxton",young_69c28c70_halvorsen_R.mp4,69c28c70-f08e-3697-9999-441380116cbd,59.867,1.6135,True,0.981,full,
2025-05-03,666157,"Lodolo, Nick",L,Stolen Base 3B,"Stephenson, Tyler",young_8e3be5df_lodolo_L.mp4,8e3be5df-7eee-374d-abd8-4efc58aa9a5a,59.8,1.2275,True,0.936,full,
2025-05-06,682847,"Ortiz, Luis",R,Stolen Base 2B,"Naylor, Bo",young_a2d9c3f3_ortiz_R.mp4,a2d9c3f3-878f-381b-a3ed-99af21e8cce8,59.776,1.6462,True,0.973,full,
2025-05-16,700249,"Povich, Cade",L,Caught Stealing 2B,"Rutschman, Adley",young_49c3056a_povich_L.mp4,49c3056a-fcc4-3040-a5d5-1066677fc1ee,59.689,0.1858,False,0.554,full,un-measurable; no same-pitcher fallback available
2025-06-08,656641,"Latz, Jacob",L,Caught Stealing 2B,"Heim, Jonah",young_17af7e6a_latz_L.mp4,17af7e6a-8d89-3486-8923-ad36fa7d5090,59.87,0.5755,False,0.989,full,un-measurable; no same-pitcher fallback available
2025-06-18,608566,"Márquez, Germán",R,Caught Stealing 2B,"Fulford, Braxton",young_a06136e7_marquez_R.mp4,a06136e7-8578-37b8-ad47-7f14d429e7f7,59.718,1.6346,False,0.002,full,un-measurable; no same-pitcher fallback available
2025-06-19,801403,"Dollander, Chase",R,Caught Stealing 2B,"Goodman, Hunter",young_49a1debb_dollander_R.mp4,49a1debb-307d-38f8-a168-82faf7c4454a,59.748,0.2079,False,0.937,full,un-measurable; no same-pitcher fallback available
2025-06-22,607455,"Banda, Anthony",L,Caught Stealing 2B,"Rushing, Dalton",young_4c66ffc1_banda_L.mp4,4c66ffc1-6eeb-3d21-85d6-ca0b11119b89,59.705,0.6043,False,0.433,full,un-measurable; no same-pitcher fallback available
2025-06-23,593974,"Peralta, Wandy",L,Stolen Base 3B,"Díaz, Elias",young_023853e1_peralta_L.mp4,023853e1-125b-3cbc-bdf7-0ff25b5a29d9,59.721,0.1142,False,0.798,full,un-measurable; no same-pitcher fallback available
2025-06-24,670970,"Morejon, Adrian",L,Stolen Base 2B,"Maldonado, Martín",young_777f50ea_morejon_L.mp4,777f50ea-dbfd-3e5d-8cc9-c2b67364362b,59.719,1.1028,True,0.389,full,
2025-06-29,445276,"Jansen, Kenley",R,Stolen Base 2B,"O'Hoppe, Logan",young_2d13f0a1_jansen_R.mp4,2d13f0a1-e619-3a90-9b84-4e0a7d6fa6c8,59.742,0.9035,True,0.957,full,
2025-07-12,681982,"Anderson, Grant",R,Stolen Base 2B,"Contreras, William",young_0af6700f_anderson_R.mp4,0af6700f-dc2c-3750-a5f2-b5e1fe4d635c,59.763,0.8914,True,0.884,full,
2025-08-09,657424,"Gage, Matt",L,Caught Stealing 2B,"Knizner, Andrew",young_af36d6d8_gage_L.mp4,af36d6d8-be95-3239-aef0-7be2ef21201e,59.854,0.2156,False,0.975,full,un-measurable; no same-pitcher fallback available
2025-08-09,687931,"Whisenhunt, Carson",L,Stolen Base 2B,"Knizner, Andrew",young_7f066664_whisenhunt_L.mp4,7f066664-e8f5-3be3-88ad-a1901ff61b43,59.721,1.4756,True,0.91,full,
2025-08-10,434378,"Verlander, Justin",R,Stolen Base 2B,"Bailey, Patrick",young_908c8b84_verlander_R.mp4,908c8b84-c31c-30bb-a842-42b80d9c2e11,59.789,1.4666,True,0.86,full,
2025-08-16,605447,"Romano, Jordan",R,Stolen Base 2B,"Realmuto, J.T.",young_b3a84692_romano_R.mp4,b3a84692-c1df-30da-9051-a66b2dc14b22,59.705,1.0496,True,0.829,full,
2025-08-25,693645,"Schlittler, Cam",,Stolen Base 2B,"Rice, Ben",,369c6823-baad-342a-a99d-6e2ffcf13b93,,,False,,full,un-measurable; no same-pitcher fallback available
2025-09-02,800049,"Mazur, Adam",R,Stolen Base 2B,"Hicks, Liam",young_8d52526e_mazur_R.mp4,8d52526e-4761-385e-a49f-87d7fc8294a8,59.562,1.4249,False,0.527,full,un-measurable; no same-pitcher fallback available
2025-09-21,605280,"Holmes, Clay",R,Stolen Base 3B,"Torrens, Luis",young_d59afac9_holmes_R.mp4,d59afac9-0d76-32d6-840e-2b70469d0db3,59.683,1.5327,True,0.824,full,
