clip_id,pitcher_name,pitcher_id,catcher_name,catcher_id,play_id,game_pk,at_bat_number,pitch_number,p_throws,fps,n_frames,analysis_frames,scene_cut_at,n_segments,segment_index,chosen_segment,set_frame,first_move_frame,release_frame,delivery_s,first_move_cue,leg_lift_frame,hand_break_frame,release_method,release_kpt_conf,good_track,in_band,release_pre_cut,usable,confidence,pitcher_track_id,status
001656c5_littell_R.mp4,Zack Littell,641793.0,Ben Rortvedt,666163.0,001656c5-4816-40b3-993d-18c48ed63951,745100.0,13.0,5.0,R,59.704,520,257,154,4,2,[253:510],291,289.35,387.25,1.6397,leg_lift,289.35,300.0,extension_collapse,0.916,True,True,True,True,1.0,17,ok
0028354f_bassitt_R.mp4,Chris Bassitt,605135.0,Alejandro Kirk,672386.0,0028354f-d314-42ea-bfa8-2e9e9a128132,744889.0,11.0,5.0,R,59.629,532,293,293,2,0,[0:293],77,138.17,211.08,1.2227,leg_lift,138.17,158.0,extension_collapse,0.939,True,True,True,True,1.0,19,ok
0670c556_urena_R.mp4,José Ureña,570632.0,Jonah Heim,641680.0,0670c556-476e-4252-af45-9299d7ac7bcf,746555.0,54.0,5.0,R,59.66,508,267,267,2,0,[0:267],76,139.19,198.24,0.9898,leg_lift,139.19,135.0,extension_collapse,0.752,True,True,True,True,1.0,90,ok
06c040b2_morton_R.mp4,Charlie Morton,450203.0,Sean Murphy,669221.0,06c040b2-eb73-4927-9519-1d76c9a9e348,747105.0,10.0,6.0,R,59.661,586,586,-1,1,0,[0:586],97,113.11,175.77,1.0502,leg_lift,113.11,118.0,extension_collapse,0.961,True,True,True,True,1.0,91,ok
0b6ea438_gausman_R.mp4,Kevin Gausman,592332.0,Danny Jansen,643376.0,0b6ea438-c809-4d44-8004-1e205608f16b,744862.0,27.0,4.0,R,59.748,726,344,289,3,1,[289:633],399,397.75,457.5,1.0001,leg_lift,397.75,399.0,extension_collapse,0.981,True,True,True,True,1.0,443,ok
13727210_garcia_R.mp4,Luis García,472610.0,Logan O'Hoppe,681351.0,13727210-fa6c-4ec9-8928-f594635814ce,746222.0,59.0,3.0,R,59.642,480,265,265,3,0,[0:265],97,109.26,178.5,1.1609,leg_lift,109.26,98.0,extension_collapse,0.96,True,True,True,True,1.0,466,ok
17477d36_castillo_R.mp4,Luis Castillo,622491.0,Cal Raleigh,663728.0,17477d36-9444-4d93-b0d7-089437bdef53,745258.0,41.0,6.0,R,59.804,850,117,733,2,1,[733:850],759,764.35,827.5,1.0559,motion_onset,,,extension_collapse,0.389,True,True,True,True,1.0,602,ok
1f5c9475_castillo_R.mp4,Luis Castillo,622491.0,Cal Raleigh,663728.0,1f5c9475-170e-4261-8ba2-a1442d44400a,745231.0,11.0,5.0,R,59.715,558,558,-1,1,0,[0:558],5,317.06,331.5,0.2419,leg_lift,317.06,318.0,extension_collapse,0.657,True,False,True,False,0.75,675,ok
21a4d22a_king_R.mp4,Michael King,650633.0,Brett Sullivan,664954.0,21a4d22a-c133-4e04-86b6-32aae6225072,745396.0,11.0,6.0,R,59.628,530,63,50,3,2,[467:530],484,480.0,483.84,0.0644,leg_lift,480.0,,extension_collapse,0.962,True,False,True,False,0.75,917,ok
26b50bd5_castillo_R.mp4,Luis Castillo,622491.0,Cal Raleigh,663728.0,26b50bd5-710f-4686-8e27-98b470acab7e,745252.0,10.0,7.0,R,59.676,628,628,-1,1,0,[0:628],5,285.54,359.07,1.2322,leg_lift,285.54,291.0,extension_collapse,0.832,True,True,True,True,1.0,979,ok
2762fd25_littell_R.mp4,Zack Littell,641793.0,René Pinto,650907.0,2762fd25-c9ad-4cde-a347-ca398a8e10be,745105.0,4.0,5.0,R,59.734,808,147,272,4,2,[558:705],563,565.22,645.05,1.3364,motion_onset,,,extension_collapse,0.759,True,True,True,True,1.0,1085,ok
28a9b0ce_eflin_R.mp4,Zach Eflin,621107.0,James McCann,543510.0,28a9b0ce-f461-4333-be06-ac93deffe44a,745062.0,41.0,6.0,R,59.774,598,272,272,2,0,[0:272],108,121.95,179.5,0.9627,leg_lift,121.95,148.0,extension_collapse,0.849,True,True,True,True,1.0,1090,ok
2cb59489_lively_R.mp4,Ben Lively,594902.0,Austin Hedges,595978.0,2cb59489-0aad-41bf-948a-0b698bbe880c,746973.0,11.0,6.0,R,59.769,654,412,412,2,0,[0:412],26,102.56,177.92,1.2608,leg_lift,102.56,80.0,extension_collapse,0.418,True,True,True,True,1.0,1090,ok
2d5c6eec_king_R.mp4,Michael King,650633.0,Kyle Higashioka,543309.0,2d5c6eec-20d5-4751-8fc1-2ccd2b418dea,745371.0,46.0,6.0,R,59.679,568,382,150,3,1,[150:532],155,325.59,385.99,1.012,leg_lift,325.59,327.0,extension_collapse,0.978,True,True,True,True,1.0,1298,ok
2e082507_brown_R.mp4,Hunter Brown,686613.0,Yainer Diaz,673237.0,2e082507-874f-45d9-9df7-9226d21caccd,746398.0,17.0,6.0,R,59.695,598,286,286,3,0,[0:286],100,113.02,180.5,1.1304,leg_lift,113.02,144.0,extension_collapse,0.907,True,True,True,True,1.0,1327,ok
34c44990_vasquez_R.mp4,Randy Vásquez,681190.0,Kyle Higashioka,543309.0,34c44990-aa7c-4ca2-bf88-44ee88ef02c3,745408.0,2.0,4.0,R,59.796,872,202,476,4,3,[670:872],675,675.0,683.48,0.1419,motion_onset,,,extension_collapse,0.965,True,False,True,False,0.75,1592,ok
42e35d54_gallen_R.mp4,Zac Gallen,668678.0,Gabriel Moreno,672515.0,42e35d54-eac4-4730-9fcb-6898b9101111,745934.0,9.0,6.0,R,59.721,748,238,36,5,1,[36:274],88,89.78,181.5,1.5359,leg_lift,89.78,146.0,extension_collapse,0.626,True,True,True,True,1.0,1778,ok
