pitcher_id,pitcher_name,p_throws,n_clips,n_usable,mean_delivery_s,median_delivery_s,std_delivery_s,delivery_times
594902.0,Ben Lively,R,3,3,1.3134,1.2608,0.2445,1.044;1.261;1.636
669060.0,Bryse Wilson,R,3,3,1.2453,1.218,0.1473,1.080;1.218;1.438
450203.0,Charlie Morton,R,3,3,1.0694,1.0721,0.0147,1.050;1.072;1.086
605135.0,Chris Bassitt,R,3,3,1.3065,1.2227,0.21,1.102;1.223;1.595
570632.0,José Ureña,R,3,3,0.9907,0.9898,0.0432,0.938;0.990;1.044
628317.0,Kenta Maeda,R,3,3,1.2987,1.2697,0.0621,1.242;1.270;1.385
592332.0,Kevin Gausman,R,3,3,1.0995,1.0932,0.0839,1.000;1.093;1.205
668678.0,Zac Gallen,R,3,3,1.3734,1.5359,0.3062,0.945;1.536;1.640
621107.0,Zach Eflin,R,3,3,1.1148,1.0633,0.1497,0.963;1.063;1.318
641793.0,Zack Littell,R,3,3,1.3057,1.3364,0.286,0.941;1.336;1.640
686613.0,Hunter Brown,R,3,2,1.081,1.081,0.0494,1.032;1.130
656427.0,Jack Flaherty,R,2,2,1.0104,1.0105,0.0003,1.010;1.011
622491.0,Luis Castillo,R,3,2,1.144,1.1441,0.0881,1.056;1.232
472610.0,Luis García,R,2,2,1.1074,1.1075,0.0534,1.054;1.161
656557.0,Tanner Houck,R,3,2,1.2054,1.2054,0.0324,1.173;1.238
676710.0,Kutter Crawford,R,2,1,1.1466,1.1466,,1.147
650633.0,Michael King,R,3,1,1.012,1.012,,1.012
656605.0,Mitch Keller,R,3,1,1.5167,1.5167,,1.517
681190.0,Randy Vásquez,R,3,1,1.1379,1.1379,,1.138
663372.0,Ryan Feltner,R,3,1,0.8798,0.8798,,0.880
,,R,3,0,,,,
