rank_residual,rank_raw,player_name,season,team,position,sprint_speed_ftps,sprint_pctile,volume_qualified,n_tracked,SB,CS,SB_pct,mean_gain_to_release_ft,median_gain_to_release_ft,mean_lead_at_firstmove_ft,mean_lead_at_release_ft,mean_run_value,expected_gain_ft,gain_residual_ft,pctile_residual,runner_id
1,1,Agustín Ramírez,2025,MIA,C,26.7,30.4,True,13,13,1,92.9,21.31,22.2,15.52,36.82,0.152,12.53,8.78,100.0,682663
2,2,Ramón Laureano,2023,CLE,RF,27.9,63.2,True,12,11,1,91.7,16.94,17.95,12.47,29.43,0.144,12.2,4.74,99.7,657656
3,10,Jordan Walker,2025,STL,RF,28.7,84.4,True,10,10,0,100.0,15.28,14.9,11.66,26.93,0.199,11.16,4.12,99.4,691023
4,4,Paul Goldschmidt,2024,STL,1B,26.3,21.6,True,10,10,0,100.0,16.7,16.3,11.59,28.31,0.198,12.59,4.11,99.2,502671
5,7,Spencer Steer,2023,CIN,1B,28.4,77.1,True,12,10,2,83.3,15.72,16.55,12.96,28.68,0.047,11.85,3.87,98.9,668715
6,17,Anthony Volpe,2024,NYY,SS,28.6,82.8,True,29,23,5,82.1,14.66,14.5,11.32,25.97,0.086,11.02,3.64,98.6,683011
7,25,Sal Frelick,2024,MIL,RF,29.3,93.1,True,13,12,1,92.3,13.98,12.2,11.96,25.93,0.068,10.54,3.44,98.3,686217
8,14,Anthony Volpe,2025,NYY,SS,28.3,72.7,True,20,16,4,80.0,14.76,14.75,11.73,26.47,0.075,11.43,3.33,98.0,683011
9,8,Lars Nootbaar,2023,STL,CF,27.8,60.8,True,11,10,1,90.9,15.56,13.4,12.34,27.89,0.138,12.26,3.3,97.8,663457
10,24,Whit Merrifield,2024,ATL,2B,29.0,91.3,True,13,11,2,84.6,14.04,12.4,12.37,26.42,0.105,10.75,3.29,97.5,593160
11,9,Jesús Sánchez,2025,HOU,LF,27.0,38.1,True,11,10,1,90.9,15.53,13.1,11.78,27.32,0.139,12.32,3.21,97.2,660821
12,5,Juan Soto,2023,SD,LF,26.8,34.5,True,10,6,4,60.0,16.12,16.15,12.15,28.26,-0.096,12.95,3.17,96.9,665742
13,33,Trea Turner,2023,PHI,SS,30.3,99.7,True,24,24,0,100.0,13.59,13.7,13.92,27.52,0.148,10.56,3.03,96.6,607208
14,57,Trea Turner,2025,PHI,SS,30.3,100.0,True,29,26,3,89.7,13.05,12.2,12.81,25.85,0.112,10.07,2.98,96.3,607208
14,19,Matt Chapman,2025,SF,3B,28.1,67.8,True,12,8,4,66.7,14.55,13.1,12.76,27.29,-0.05,11.57,2.98,96.3,656305
16,27,Sam Haggerty,2025,TEX,LF,28.9,86.7,True,13,11,2,84.6,13.94,11.8,13.67,27.62,0.098,11.02,2.92,95.8,664059
17,50,Trea Turner,2024,PHI,SS,29.6,96.3,True,17,15,2,88.2,13.18,12.0,12.59,25.76,0.126,10.34,2.84,95.5,607208
18,6,Gleyber Torres,2023,NYY,2B,26.4,26.1,True,16,10,5,66.7,15.91,14.65,11.41,27.32,-0.005,13.22,2.69,95.2,650402
19,16,Francisco Lindor,2025,NYM,SS,27.4,47.4,True,27,25,3,89.3,14.72,14.0,14.5,29.23,0.129,12.05,2.67,94.9,596019
20,3,Josh Naylor,2025,SEA,1B,24.4,1.9,True,23,22,1,95.7,16.74,15.3,12.45,29.21,0.17,14.1,2.64,94.7,647304
21,33,Michael A. Taylor,2024,PIT,CF,28.5,80.7,True,11,10,0,100.0,13.59,12.6,15.4,28.97,0.144,11.09,2.5,94.4,572191
22,21,Anthony Volpe,2023,NYY,SS,28.4,75.6,True,25,22,3,88.0,14.32,13.9,11.51,25.83,0.064,11.85,2.47,94.1,683011
22,20,Chris Taylor,2023,LAD,LF,28.3,75.4,True,18,16,2,88.9,14.39,13.4,13.19,27.57,0.126,11.92,2.47,94.1,621035
22,15,Jonathan India,2023,CIN,2B,27.8,60.1,True,12,12,1,92.3,14.73,14.6,15.97,30.71,0.151,12.26,2.47,94.1,663697
25,12,Adam Frazier,2025,KC,2B,26.6,27.9,True,13,8,5,61.5,15.02,13.8,13.29,28.31,-0.052,12.6,2.42,93.3,624428
26,11,Ke'Bryan Hayes,2023,PIT,3B,27.1,41.4,True,14,9,5,64.3,15.04,12.75,12.89,27.91,-0.034,12.74,2.3,93.0,663647
26,30,Christian Yelich,2025,MIL,DH,28.2,72.0,True,13,9,4,69.2,13.8,11.3,13.08,26.88,-0.002,11.5,2.3,93.0,592885
28,29,Whit Merrifield,2023,TOR,2B,28.8,87.5,True,29,21,6,77.8,13.83,14.6,13.7,27.54,0.031,11.58,2.25,92.4,593160
29,35,Myles Straw,2023,CLE,CF,29.2,93.5,True,22,17,5,77.3,13.54,11.2,12.43,25.96,0.029,11.31,2.23,92.1,664702
30,36,Sam Haggerty,2023,SEA,X,29.2,92.8,True,10,10,0,100.0,13.53,12.0,11.82,25.34,0.199,11.31,2.22,91.9,664059
31,62,Tyrone Taylor,2025,NYM,CF,29.3,94.8,True,11,11,0,100.0,12.91,10.8,14.72,27.63,0.198,10.75,2.16,91.6,621438
32,67,Jorge Mateo,2023,BAL,SS,30.1,99.0,True,34,28,4,87.5,12.81,11.55,14.03,26.84,0.09,10.69,2.12,91.3,622761
33,22,Bryan Reynolds,2023,PIT,LF,27.8,62.0,True,10,10,0,100.0,14.27,13.05,13.17,27.43,0.198,12.26,2.01,91.0,668804
34,26,Luis García Jr.,2024,WSH,2B,27.2,45.5,True,19,17,3,85.0,13.97,11.0,12.19,26.17,0.101,11.98,1.99,90.7,671277
35,49,Michael Siani,2024,STL,CF,28.3,75.0,True,17,14,3,82.4,13.21,11.1,13.25,26.45,0.061,11.23,1.98,90.4,672279
36,18,Geraldo Perdomo,2023,AZ,SS,27.2,44.0,True,16,13,3,81.2,14.62,13.8,13.56,28.18,0.044,12.67,1.95,90.2,672695
37,48,Zach Neto,2024,LAA,SS,28.2,74.0,True,28,24,4,85.7,13.23,11.5,12.66,25.9,0.09,11.3,1.93,89.9,687263
38,65,Jazz Chisholm Jr.,2024,NYY,3B,28.6,83.9,True,34,26,8,76.5,12.88,12.2,12.36,25.23,0.028,11.02,1.86,89.6,665862
39,54,Andrés Giménez,2023,CLE,2B,29.2,92.3,True,30,25,5,83.3,13.12,10.85,12.6,25.72,0.09,11.31,1.81,89.3,665926
39,13,Cal Raleigh,2025,SEA,C,26.0,16.1,True,12,8,4,66.7,14.82,13.0,12.62,27.44,-0.051,13.01,1.81,89.3,663728
41,93,Corbin Carroll,2023,AZ,LF,30.1,99.1,True,49,43,4,91.5,12.49,12.6,11.79,24.3,0.146,10.69,1.8,88.8,682998
41,31,Jake Bauers,2024,MIL,1B,27.2,43.9,True,13,12,1,92.3,13.78,13.6,11.65,25.45,0.117,11.98,1.8,88.8,641343
43,89,Tyrone Taylor,2024,NYM,RF,28.9,88.7,True,12,10,2,83.3,12.54,11.65,13.04,25.63,0.09,10.82,1.72,88.2,621438
44,61,Nico Hoerner,2025,CHC,2B,28.6,82.4,True,26,25,1,96.2,12.92,12.9,11.73,24.63,0.131,11.23,1.69,87.9,663538
45,88,Noelvi Marte,2024,CIN,3B,28.8,88.3,True,10,7,3,70.0,12.56,10.6,12.68,25.26,-0.038,10.89,1.67,87.6,682622
45,64,Fernando Tatis Jr.,2025,SD,RF,28.6,81.7,True,30,24,6,80.0,12.9,12.0,13.78,26.68,0.052,11.23,1.67,87.6,665487
47,28,Juan Soto,2024,NYY,RF,26.8,32.4,True,11,6,4,60.0,13.89,14.0,11.12,25.0,-0.019,12.25,1.64,87.1,665742
48,54,Maikel Garcia,2024,KC,3B,27.9,64.2,True,36,34,2,94.4,13.12,12.45,14.14,27.25,0.147,11.5,1.62,86.8,672580
49,50,Jakob Marsee,2025,MIA,CF,28.1,68.2,True,16,11,5,68.8,13.18,13.1,13.21,26.38,-0.03,11.57,1.61,86.5,805300
50,75,Kevin Pillar,2024,LAA,CF,28.4,78.4,True,12,11,1,91.7,12.74,12.35,11.86,24.6,0.106,11.16,1.58,86.2,607680
51,73,Fernando Tatis Jr.,2023,SD,RF,29.3,94.7,True,27,24,2,92.3,12.78,12.0,11.83,24.61,0.152,11.24,1.54,86.0,665487
52,85,Jared Triolo,2025,PIT,SS,28.8,86.5,True,12,11,1,91.7,12.62,11.8,12.06,24.67,0.145,11.09,1.53,85.7,669707
53,121,David Hamilton,2024,BOS,SS,29.4,94.7,True,34,31,3,91.2,11.99,10.7,13.11,25.1,0.141,10.48,1.51,85.4,666152
54,83,Xavier Edwards,2024,MIA,SS,28.4,78.2,True,29,27,2,93.1,12.65,12.5,12.4,25.04,0.115,11.16,1.49,85.1,669364
55,58,Zach Neto,2025,LAA,SS,28.1,68.0,True,30,21,8,72.4,13.04,10.55,13.11,26.15,-0.011,11.57,1.47,84.8,687263
56,71,Leody Taveras,2023,TEX,CF,29.1,90.7,True,16,11,4,73.3,12.79,12.8,11.33,24.12,0.036,11.38,1.41,84.6,665750
57,167,Tyler Fitzgerald,2024,SF,SS,30.0,99.1,True,17,13,4,76.5,11.42,9.8,12.85,24.29,0.019,10.07,1.35,84.3,666149
58,44,Taylor Walls,2023,TB,3B,28.2,71.8,True,21,20,1,95.2,13.32,12.3,13.29,26.62,0.113,11.99,1.33,84.0,670764
