runner_id,player_name,season,team,position,sprint_speed_ftps,sprint_pctile,n_tracked,SB,CS,SB_pct,mean_gain_to_release_ft,n_attempts,posterior_mean_gain,posterior_sd_gain,prob_above_league_mean,sd_above_league_mean,rank_posterior_sd
682663,Agustín Ramírez,2025,MIA,C,26.7,30.4,13,13,1,92.9,21.31,13,18.59375738871078,0.8988360709997261,0.9999999999999988,7.922076532924847,1
647304,Josh Naylor,2025,SEA,1B,24.4,1.9,23,22,1,95.7,16.74,23,15.657967815768124,0.776524648615278,0.9999999646170201,5.389215370733189,2
665742,Juan Soto,2025,NYM,RF,25.8,13.5,29,30,0,100.0,14.18,29,13.75447658141685,0.6779352775382291,0.9996175171959657,3.3651698227058593,3
502671,Paul Goldschmidt,2024,STL,1B,26.3,21.6,10,10,0,100.0,16.7,10,14.17859425421039,1.188388422127702,0.9885949367634839,2.276599940000244,4
663728,Cal Raleigh,2025,SEA,C,26.0,16.1,12,8,4,66.7,14.82,12,13.401793233822024,1.1130461132123137,0.9584342036746964,1.7327979202570996,5
500743,Miguel Rojas,2023,LAD,SS,26.4,25.6,10,8,2,80.0,13.41,10,12.91535067119242,0.8646789836330866,0.952337186991976,1.6679501350144241,6
650402,Gleyber Torres,2023,NYY,2B,26.4,26.1,16,10,5,66.7,15.91,16,13.538314765509496,1.2505121166569355,0.9506804964834091,1.6514878139150275,7
663656,Kyle Tucker,2025,CHC,RF,26.5,26.1,18,14,3,82.4,13.25,18,12.819522569026686,0.8421774025530742,0.9450595698256916,1.5987288678698026,8
660821,Jesús Sánchez,2025,HOU,LF,27.0,38.1,11,10,1,90.9,15.53,11,13.414117612120998,1.2353039056218675,0.9419411921222669,1.5712800385314019,9
605141,Mookie Betts,2024,LAD,SS,26.7,30.3,16,15,1,93.8,12.33,16,12.25437839214984,0.5121090758502954,0.9364441593620886,1.5255912954777422,10
665742,Juan Soto,2023,SD,LF,26.8,34.5,10,6,4,60.0,16.12,10,13.16467857152426,1.3645199341105094,0.8924532815379991,1.2396809204033101,11
668904,Royce Lewis,2025,MIN,3B,26.8,32.7,10,9,1,90.0,12.75,10,12.462092697077193,0.8124716646032317,0.8882459871305599,1.2172528550428658,12
624428,Adam Frazier,2023,BAL,2B,26.5,27.7,12,8,4,66.7,13.66,12,12.778211508644974,1.0858808147136985,0.8852956714660358,1.2018835283424691,13
624428,Adam Frazier,2025,KC,2B,26.6,27.9,13,8,5,61.5,15.02,13,13.01462051725636,1.2859246981088057,0.8846887825523113,1.1987570312833735,14
514888,Jose Altuve,2023,HOU,2B,26.9,36.4,13,13,0,100.0,12.69,13,12.410171804768487,0.8230964332848496,0.8725358234071858,1.1384602376799724,15
592518,Manny Machado,2025,SD,3B,25.8,13.1,10,9,1,90.0,12.88,10,12.465385745741763,0.9288608981042951,0.8573011826962946,1.0682724443126126,16
462101,Elvis Andrus,2023,CWS,2B,26.5,28.7,12,10,2,83.3,12.51,12,12.236266949229195,0.8771603904584192,0.8078585717186997,0.8700321102425485,17
665742,Juan Soto,2024,NYY,RF,26.8,32.4,11,6,4,60.0,13.89,11,12.482337346269572,1.3059846362828353,0.7801712782738894,0.7727718033840071,18
671277,Luis García Jr.,2025,WSH,2B,26.5,26.5,17,13,4,76.5,13.06,17,12.30517961152164,1.1795853890769987,0.7597169108963588,0.705392229786127,19
518692,Freddie Freeman,2024,LAD,1B,25.8,14.5,10,7,2,77.8,13.4,10,12.188289220619783,1.3568432973655062,0.7009348239509879,0.527091063729262,20
663656,Kyle Tucker,2023,HOU,RF,26.6,30.8,30,26,4,86.7,11.89,30,11.817607482186421,0.7263406725353239,0.6823544802057381,0.4742929199964198,21
518692,Freddie Freeman,2023,LAD,1B,26.7,33.5,20,18,1,94.7,11.75,20,11.712708060888998,0.6627460321932427,0.6411462408883353,0.36152433293128633,22
595777,Jurickson Profar,2025,ATL,LF,26.3,23.0,10,7,2,77.8,11.91,10,11.63242144586938,1.3638458332584782,0.5464950885552736,0.1168110047975689,23
668942,Josh Rojas,2024,SEA,3B,27.0,39.1,13,10,3,76.9,11.24,13,11.287173558172398,0.7795943219160171,0.4057454441908702,-0.23850312950985175,24
670770,TJ Friedl,2025,CIN,CF,26.7,29.4,13,11,1,91.7,10.66,13,10.939949654601195,1.0021642325421047,0.29736015822561235,-0.5320081996379611,25
643393,Tony Kemp,2023,ATH,LF,26.2,21.3,18,14,4,77.8,11.19,18,11.211089290219936,0.41817453837773794,0.2654671723035814,-0.6265803616212987,26
671732,Lawrence Butler,2025,ATH,RF,26.9,35.8,26,21,5,80.8,11.08,26,11.118085700109289,0.5276886182070134,0.2505404996259114,-0.6727898448795309,27
573262,Mike Yastrzemski,2025,KC,RF,26.9,36.7,10,6,2,75.0,10.01,10,10.575437424869019,1.0636840634629847,0.19935506866761205,-0.8439271111254157,28
677587,Brayan Rocchio,2024,CLE,SS,26.8,33.6,14,8,6,57.1,10.67,14,10.73847473598575,0.4948174618704627,0.06881727379526215,-1.4846576047149422,29
666969,Adolis García,2024,TEX,RF,26.8,31.9,12,6,5,54.5,9.13,12,9.926340219711493,0.9961164251116472,0.06023552864460309,-1.5527994368857236,30
805367,Chase Meidroth,2025,CWS,SS,27.0,37.0,12,10,2,83.3,10.26,12,10.412395298277621,0.6093381720660408,0.04086247855168942,-1.7407639863154616,31
650859,Luis Rengifo,2024,LAA,3B,26.9,37.2,25,19,4,82.6,10.33,25,10.447675782395821,0.5447739918754554,0.029896977658032082,-1.8823098690366433,32
666969,Adolis García,2025,TEX,RF,27.0,37.9,15,12,3,80.0,9.31,15,9.771329479364228,0.7924176165624166,0.01587359093367167,-2.1475794186854835,33
650859,Luis Rengifo,2025,LAA,3B,27.0,39.3,16,7,7,50.0,8.53,16,9.337919776212798,0.898484962272743,0.008740463838119562,-2.3764331704379993,34
