pitcher_id,n_clips,median_delivery_s
450203,3,1.072
458677,1,1.2833
472610,2,1.1075
493603,1,1.56
519242,1,0.8498
542881,1,1.2357
543294,1,0.9322
544150,1,1.1367
570632,3,0.99
592332,3,1.093
592662,2,1.4272
592773,1,0.8645
593958,1,1.0239
594902,3,1.261
595014,1,1.3811
601713,1,1.2669
605130,1,1.6444
605135,3,1.223
605347,1,1.2435
605447,1,1.2838
607259,1,1.5473
608372,1,0.8458
621107,3,1.063
621383,1,1.4822
622491,2,1.144
628317,3,1.27
641401,1,1.5099
641793,4,1.1602
642547,1,1.3405
645261,3,1.1293
650633,1,1.012
650911,1,1.1638
656427,2,1.0105
656557,2,1.2055
656605,2,1.2852
656641,1,1.1373
656986,1,1.3333
657376,1,0.9033
657746,1,0.815
661403,1,1.6336
663372,1,0.88
663436,2,1.3355
663465,1,1.2153
663804,1,1.0798
664285,1,1.2599
665795,1,1.0983
666205,1,1.1869
666214,1,1.6142
666808,1,1.466
668678,3,1.536
669060,3,1.218
669212,1,1.6148
669302,1,0.912
669461,3,1.2303
669467,1,1.3031
671096,1,1.2963
671106,2,1.0526
671111,1,1.1031
671131,1,0.9919
672578,1,0.8817
674384,1,1.0922
675911,2,1.1709
676130,1,1.5948
676710,1,1.147
676760,1,1.0524
676979,2,1.1174
678394,1,1.2053
678692,1,1.6016
680732,1,1.571
681190,1,1.138
682254,1,1.2936
682990,1,1.1669
683769,1,1.628
684320,1,1.6074
685126,3,1.3248
686613,2,1.081
687223,1,1.1923
687830,1,1.1061
689017,1,1.4688
689147,1,0.8372
690925,1,1.1437
691172,1,0.8797
693433,1,1.5338
693821,2,1.3212
700669,1,1.2431
702273,1,1.1275
800311,1,1.4233
837227,1,0.9576
