feature,feature_raw,league_avg,one_tier_step,sb_pct_boost_per_tier,odds_multiplier,tech_coefficient,higher_is_better
Post-Release Distance,avg_post_release_distance,52.144,2.882,16.32,2.17,0.7746,True
Jump Time,jump_time,1.769,0.044,9.58,1.531,0.4259,False
Lead Gain (jerk),lead_gain,3.741,0.779,8.47,1.452,0.3733,True
Accel Gap,accel_gap,-1.666,19.47,7.64,1.398,0.3349,True
Avg Catcher Pop Faced,avg_pop_faced,1.962,0.036,-6.97,0.752,-0.2853,True
Pre-Release Velocity,avg_pre_release_velocity,2.928,0.639,-4.69,0.824,-0.1932,True
Two-Strike Count Share,two_strike_share,0.86,0.208,4.45,1.211,0.1911,False
Primary Lead,primary_lead,11.831,0.843,-3.19,0.876,-0.132,True
Sprint Speed (capped at 28),speed_capped,27.712,0.539,-3.05,0.881,-0.1264,True
Share vs Weak-Arm Catchers,weak_arm_share,0.265,0.314,2.66,1.12,0.1132,True
Avg Pitcher Pickoff Rate Faced,avg_pickoff_rate_faced,0.011,0.01,2.56,1.115,0.1088,False
Bolts,bolts,13.546,24.083,2.48,1.111,0.1051,True
