epoch,feature,importance
full,sprint_speed,0.1404
full,speed_capped,0.0298
full,jump_time,0.1001
full,accel_phase,0.0533
full,top_speed_phase,0.1434
full,total_90,0.2011
full,accel_gap,0.2341
full,bolts,0.096
full,primary_lead,0.1451
full,secondary_lead,0.1892
full,lead_gain,0.1266
full,avg_pop_faced,0.1407
full,avg_pickoff_rate_faced,0.0472
full,weak_arm_share,0.0319
full,two_strike_share,0.0006
full,avg_pre_release_velocity,0.1389
full,avg_post_release_distance,0.2586
full,n_attempts,0.0492
pre_2023,sprint_speed,0.2775
pre_2023,speed_capped,0.0326
pre_2023,jump_time,0.2973
pre_2023,accel_phase,0.1366
pre_2023,top_speed_phase,0.1462
pre_2023,total_90,0.116
pre_2023,accel_gap,0.4028
pre_2023,bolts,0.2234
pre_2023,primary_lead,0.177
pre_2023,secondary_lead,0.1902
pre_2023,lead_gain,0.3067
pre_2023,avg_pop_faced,0.2461
pre_2023,avg_pickoff_rate_faced,0.2097
pre_2023,weak_arm_share,0.2145
pre_2023,two_strike_share,0.015
pre_2023,avg_pre_release_velocity,0.1351
pre_2023,avg_post_release_distance,0.3606
pre_2023,n_attempts,0.3153
post_2023,sprint_speed,0.2301
post_2023,speed_capped,0.0596
post_2023,jump_time,0.1431
post_2023,accel_phase,0.0273
post_2023,top_speed_phase,0.0778
post_2023,total_90,0.4263
post_2023,accel_gap,0.2748
post_2023,bolts,0.1181
post_2023,primary_lead,0.3116
post_2023,secondary_lead,0.3918
post_2023,lead_gain,0.3492
post_2023,avg_pop_faced,0.2428
post_2023,avg_pickoff_rate_faced,0.036
post_2023,weak_arm_share,0.0049
post_2023,two_strike_share,0.0037
post_2023,avg_pre_release_velocity,0.1625
post_2023,avg_post_release_distance,0.2523
post_2023,n_attempts,0.0794
