season,rank,runner_id,player_name,sprint_speed,jump_time,primary_lead,lead_gain,avg_pre_release_velocity,avg_post_release_distance,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,jump_time
2015,1,502481,Jarrod Dyson,29.5,1.63,,,,57.525,1.95,26,3,0.8792157786118922,0.08419894305421449,1.63
2015,2,519184,Ben Revere,28.4,1.64,,,,55.379999999999995,1.95,31,7,0.8114729412280078,0.04305226547640573,1.64
2015,3,571740,Billy Hamilton,29.7,1.65,,,,57.915,1.95,57,8,0.8699048067543477,0.06848979567345903,1.65
2015,4,605486,Cory Spangenberg,28.8,1.65,,,,56.16,1.95,9,4,0.7162964707113518,-0.06011283268998169,1.65
2015,5,571740,Billy Hamilton,29.7,1.66,,,,57.625425,1.95,57,8,0.8699048067543477,0.06848979567345903,1.66
2015,6,453056,Jacoby Ellsbury,27.4,1.67,,,,52.89569999999999,1.95,21,9,0.7112381849372666,-0.04562443763421831,1.67
2015,7,543238,Anthony Gose,28.3,1.67,,,,54.63315,1.95,23,11,0.689572730071906,-0.07715127147955603,1.67
2015,8,592261,Delino DeShields,30.5,1.68,,,,58.582875,1.95,25,8,0.7603509598106403,-0.07146447675978551,1.68
2015,9,514888,Jose Altuve,28.4,1.68,10.984526531,2.201179592,1.6932150707692306,54.549299999999995,1.95,38,13,0.7480952941572203,-0.020325381594381797,1.68
2015,10,545361,Mike Trout,29.6,1.68,11.370782123,2.511715084,1.932088526153846,56.8542,1.95,11,7,0.647536368382797,-0.15061945839402813,1.68
2015,11,408307,Carl Crawford,28.2,1.68,,,,54.16515,1.95,10,2,0.8172550866355489,0.05210756619930834,1.68
2015,12,543829,Dee Strange-Gordon,29.1,1.68,,,,55.89382500000001,1.95,58,20,0.7457028490699318,-0.03795995246033046,1.68
2015,13,456422,Michael Bourn,28.0,1.68,,,,53.781,1.95,17,7,0.7204598783725632,-0.04189525908798408,1.68
2015,14,592885,Christian Yelich,28.8,1.69,12.506061728,2.67582716,2.0583285846153845,55.03679999999999,1.95,16,5,0.7651283258770897,-0.01128097752424384,1.69
