trial,auc,duration
0,0.5977389336016096,0 days 00:00:04.285943
1,0.5772403169014084,0 days 00:00:01.310323
2,0.6161248742454729,0 days 00:00:02.608392
3,0.6204715794768612,0 days 00:00:01.910776
4,0.6086034959758552,0 days 00:00:02.175542
5,0.6234324698189134,0 days 00:00:02.289260
6,0.6111255030181086,0 days 00:00:02.120951
7,0.6062795523138833,0 days 00:00:05.828614
8,0.6215316901408451,0 days 00:00:02.520602
9,0.6094127263581489,0 days 00:00:02.159697
10,0.6212437122736418,0 days 00:00:10.909869
11,0.6031545523138832,0 days 00:00:15.966322
12,0.6054935865191148,0 days 00:00:04.379405
13,0.6165625,0 days 00:00:03.374694
14,0.618287852112676,0 days 00:00:03.517462
15,0.5982878521126761,0 days 00:00:01.633932
16,0.606029300804829,0 days 00:00:01.894269
17,0.6090241448692153,0 days 00:00:00.768230
18,0.6094812625754528,0 days 00:00:01.058519
19,0.6268014336016097,0 days 00:00:01.193585
20,0.6098409205231389,0 days 00:00:01.122095
21,0.6077351609657947,0 days 00:00:00.694126
22,0.614765467806841,0 days 00:00:02.298261
23,0.6169353621730382,0 days 00:00:01.270731
24,0.6235406187122736,0 days 00:00:00.814789
25,0.6204502012072434,0 days 00:00:02.250954
26,0.6083972585513079,0 days 00:00:01.824916
27,0.6006809607645877,0 days 00:00:01.680174
28,0.6150094315895374,0 days 00:00:01.521990
29,0.6091580734406439,0 days 00:00:02.485161
30,0.6077603118712274,0 days 00:00:01.400078
31,0.6122862173038229,0 days 00:00:00.989354
32,0.613614185110664,0 days 00:00:01.414521
33,0.6095290492957747,0 days 00:00:01.264829
34,0.6158513581488935,0 days 00:00:01.176543
35,0.6202772887323944,0 days 00:00:01.092355
36,0.6146642354124747,0 days 00:00:01.179287
37,0.6239185110663984,0 days 00:00:00.807198
38,0.6124245472837023,0 days 00:00:00.796019
39,0.6070013832997988,0 days 00:00:01.068150
40,0.6042083752515091,0 days 00:00:00.866870
41,0.6177244718309859,0 days 00:00:00.951145
42,0.6256897635814889,0 days 00:00:00.778879
43,0.6108985160965794,0 days 00:00:00.788874
44,0.6038197937625756,0 days 00:00:01.174749
45,0.6208777665995976,0 days 00:00:00.863574
46,0.6165121981891348,0 days 00:00:00.884297
47,0.6189757293762576,0 days 00:00:01.588262
48,0.6134148641851107,0 days 00:00:02.498894
49,0.6144133551307848,0 days 00:00:02.098290
50,0.6012808098591549,0 days 00:00:00.662296
51,0.621729124748491,0 days 00:00:00.497236
52,0.6132230885311871,0 days 00:00:00.487482
53,0.6175025150905433,0 days 00:00:00.534471
54,0.6134041750503018,0 days 00:00:00.569313
55,0.5999270623742454,0 days 00:00:00.763023
56,0.6143435613682092,0 days 00:00:00.410856
57,0.6099182595573441,0 days 00:00:00.981393
58,0.5985909205231389,0 days 00:00:00.727727
59,0.6115876509054325,0 days 00:00:00.509677
60,0.6202389336016096,0 days 00:00:00.760412
61,0.611885689134809,0 days 00:00:01.030798
62,0.6043913480885312,0 days 00:00:00.703813
63,0.6189618963782696,0 days 00:00:01.029033
64,0.6099214034205231,0 days 00:00:00.698587
65,0.6235148390342052,0 days 00:00:01.670565
66,0.6170630030181087,0 days 00:00:01.227982
67,0.6098031941649898,0 days 00:00:01.041936
68,0.6184186368209256,0 days 00:00:02.218690
69,0.6159375,0 days 00:00:01.406969
70,0.6226735412474849,0 days 00:00:02.427301
71,0.6287103873239437,0 days 00:00:02.374347
72,0.6096233651911469,0 days 00:00:04.273915
73,0.616973717303823,0 days 00:00:05.357917
74,0.6197201961770624,0 days 00:00:03.735415
75,0.6138455734406438,0 days 00:00:03.113826
76,0.6101257545271629,0 days 00:00:04.240733
77,0.6102156690140845,0 days 00:00:02.733646
78,0.6128370221327967,0 days 00:00:02.109498
79,0.6203822937625755,0 days 00:00:01.680697
80,0.616739185110664,0 days 00:00:02.875045
81,0.6095680331991952,0 days 00:00:01.474887
82,0.6162537726358149,0 days 00:00:01.697174
83,0.611124245472837,0 days 00:00:01.321739
84,0.6151578219315895,0 days 00:00:02.525889
85,0.6175289235412474,0 days 00:00:02.790339
86,0.623875754527163,0 days 00:00:02.536082
87,0.6234815140845071,0 days 00:00:02.666323
88,0.6228357645875252,0 days 00:00:01.932630
89,0.62286657444668,0 days 00:00:01.284195
90,0.6216002263581488,0 days 00:00:01.833714
91,0.617826332997988,0 days 00:00:01.418029
92,0.6200603621730382,0 days 00:00:01.461140
93,0.6207073692152917,0 days 00:00:01.534487
94,0.6216555583501006,0 days 00:00:01.048443
95,0.6176653672032193,0 days 00:00:02.484295
96,0.6181180835010059,0 days 00:00:01.713658
97,0.6174805080482898,0 days 00:00:01.164817
98,0.6218580231388329,0 days 00:00:01.796929
99,0.6195938128772636,0 days 00:00:02.417658
